record_id,title,year,publisher,url,stakeholder_group_proxy,stakeholder_confidence,stakeholder_method,stakeholder_score_government,stakeholder_score_investor,stakeholder_score_community,stakeholder_score_labour,stakeholder_score_NGO,stance_a_label,stance_a_score,stance_a_positive_sentences,stance_a_negative_sentences,stance_b_label,stance_b_score,stance_b_positive_sentences,stance_b_negative_sentences,draft_reconstructed_label,annotation_confidence,needs_review,review_reason,positive_cue_families,negative_cue_families
OFFICIAL-002,Bapo ba Mogale Heads of Argument,2014,Bapo ba Mogale,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-BapoBaMogale.pdf,community,1.0000,document_author_group,0.000,0.000,10.000,0.000,0.000,1,0.42744,22,14,0,-3.31662,0,11,,0.7488,true,stance_readings_disagree_or_low_margin,,
OFFICIAL-004,Heads of Argument of Evidence Leaders,2014,Evidence Leaders,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-EvidenceLeaders.pdf,labour,0.0356,dominant_voice_proxy,892.900,469.000,88.100,925.900,0.000,0,-2.61758,120,1657,0,-34.63676,15,1483,0,1.0000,true,stakeholder_voice_low_confidence,,
MEDIA-007,FIVE MINUTES: SOUTH AFRICA 16 August 2012,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-16-five-minutes-south-africa-16-august-2012/,government,0.9683,dominant_voice_proxy,22.100,0.700,0.000,0.700,0.000,0,-1.38629,0,3,1,0.00000,1,1,,0.2773,true,stance_readings_disagree_or_low_margin,,
MEDIA-012,Ramaphosa says negotiation was Marikana panacea,2014,Mining Weekly,https://www.miningweekly.com/article/negotiation-was-marikana-panacea-ramaphosa-2014-08-11,investor,0.0493,dominant_voice_proxy,6.750,7.100,0.000,3.200,0.350,0,-1.38629,2,11,0,-2.64575,0,7,0,0.8064,true,stakeholder_voice_low_confidence,,
MEDIA-014,Lonmin affirms Farlam report,2015,Mining Weekly,https://www.miningweekly.com/article/lonmin-affirms-farlam-report-2015-08-21,investor,0.8685,dominant_voice_proxy,3.200,29.650,0.350,3.900,0.000,1,0.00000,1,1,0,-1.00000,0,1,,0.2000,true,stance_readings_disagree_or_low_margin,,
MEDIA-015,NUM welcomes further investigation recommendation defends member actions,2015,Mining Weekly,https://www.miningweekly.com/article/num-welcomes-further-investigation-recommendation-defends-member-actions-2015-06-26,labour,0.1113,dominant_voice_proxy,29.550,9.250,5.350,33.250,0.000,0,-1.32176,3,14,0,-2.19134,2,13,0,0.7026,true,stakeholder_voice_low_confidence,,
MEDIA-016,Lonmin unveils design proposal for Marikana memorial park showcases new apartments,2017,Mining Weekly,https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,investor,0.6201,dominant_voice_proxy,2.850,24.350,2.100,9.250,0.000,1,0.22314,4,3,0,-1.73205,0,3,,0.3910,true,stance_readings_disagree_or_low_margin,,
MEDIA-031,Lonmin donates 50 ha of land for residential development,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,investor,0.6223,dominant_voice_proxy,3.550,9.400,2.500,3.550,0.000,1,0.51083,4,2,0,-1.00000,0,1,,0.3022,true,stance_readings_disagree_or_low_margin,,
MEDIA-034,Miners regress on ARV treatment – Lonmin,2014,Mining Weekly,https://www.miningweekly.com/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,labour,0.0137,dominant_voice_proxy,2.500,14.400,0.000,14.600,0.000,0,-0.40547,1,2,0,-1.41421,0,2,0,0.3639,true,stakeholder_voice_low_confidence,,
MEDIA-037,Housing Miners,2014,Mining Weekly,https://www.miningweekly.com/article/housing-miners-2014-11-11,investor,0.1021,dominant_voice_proxy,6.750,11.750,4.950,10.550,0.000,1,0.40547,2,1,1,1.00000,1,0,1,0.2811,true,stakeholder_voice_low_confidence,,
