record_id,label,final_stakeholder_group,final_stakeholder_status,status,method,words,text_sha256,error
CORP-001,0,investor,resolved,retrieved_extracted,pymupdf,97635,69d7e0cfc85171f0ab5d28bdb78d1133d1d8238a7011ed9386679f55068f27c5,
CORP-002,0,investor,resolved,retrieved_extracted,pypdf,122802,d269633bc639acc87ed20b214d18d802f458ad69ce47042b983dbf9d91b33adf,
CORP-003,0,investor,resolved,retrieved_extracted,pymupdf,114947,8fe1b018c47e5e4987ebb90fe91a004a7892eaf0bc0fc287139ff73cdb67e48a,
CORP-004,0,investor,resolved,retrieved_extracted,pypdf,147501,65958f0fc322584867c0ac28484a9ca56280141635b86a8a009aa99a6e4a9c1f,
CORP-006,0,investor,resolved,retrieved_extracted,pypdf,41631,a69476d8e2ff830470035247b05aa0b7e041efda4a15ac6ca506fba7032cb8bd,
CORP-008,1,investor,resolved,retrieved_extracted,trafilatura,325,df977e9ab7ce473effc2d861b9e81ea46de34dbf6301a97233e976c1aff0e251,
CORP-009,1,investor,resolved,retrieved_extracted,trafilatura,2730,fac8bb110d5ede5abbd11bd0c773542c38250a1f1b3be863ec5cea218f4d6a47,
CORP-NEWS-001,0,investor,resolved,retrieved_extracted,pypdf,1438,cf1889aa2800aa0c8dd4a0fab7fbe5a38fc2742dc1854146c6514b488e478a42,
CORP-NEWS-003,1,investor,resolved,retrieved_extracted,pypdf,915,307fbad8eaa5dacb0714a59449e6e66ff139470c3c5252d6c6cfa5d9cf611886,
CORP-NEWS-005,0,investor,resolved,retrieved_extracted,pypdf,821,e78ae612e5d3dad931eb34174ad4c7d0c97481c3bab1ea8bd191b171c1ec651e,
CORP-SAT-001,1,investor,resolved,retrieved_extracted,trafilatura,120,281130ac753f39cf2e916790599e23ddc1bcbb57378b4383633223a9b8fc24bf,
CORP-SAT-002,1,investor,resolved,retrieved_extracted,trafilatura,1292,49e24cb29abbbd788baad726209355a1ff09d26df81ae312bb98c2dd0d2f6676,
CORP-SAT-003,1,investor,resolved,retrieved_extracted,trafilatura,478,2969298d169c91ef5b6f10c857ea1710ee696e94e6a00146ba3e3bb95fa34bd9,
CORP-SAT-004,1,investor,resolved,retrieved_extracted,trafilatura,1688,4fa6b310739a398a1307ac090b20c2a7c9df369c59c3da4d6d59f857771d405e,
DISC-MEDIA-0001,0,labour,resolved,retrieved_extracted,trafilatura,1239,8c12568b097eaf5088b2bc69f8d7cf039ee44c36ea62092bf6bb79c1e7e81aa1,
DISC-MEDIA-0002,0,investor,resolved,retrieved_extracted,trafilatura,960,0425b9e0b5d6443bd4c9e248039a4b07f54bb2ae7da492022ca8d8da72a847e5,
DISC-MEDIA-0003,0,labour,resolved,retrieved_extracted,trafilatura,1623,edf1c6138605d38cb5b8f7f6bafb52876b9ac59ab03d210eea107a991ea51097,
DISC-MEDIA-0004,0,labour,resolved,retrieved_extracted,trafilatura,914,2c199347114f21fa766065f1c27d1ec0ab0858e02053c20882d985ba538ca0da,
DISC-MEDIA-0005,0,investor,resolved,retrieved_extracted,trafilatura,1180,44613bb417302c3cdd7abfcd2443e36fc3affa1608bb802085ddb5eb244d49c4,
DISC-MEDIA-0006,0,labour,resolved,retrieved_extracted,trafilatura,974,04d4a1f3e25ca3fc487e3bba51f25d35e7e812ba730a61db82919b1e809ee4e6,
DISC-MEDIA-0007,0,government,resolved,retrieved_extracted,trafilatura,971,addfb55131394259868ffc43df8e89157c64d21600680cbf9b9176b3dcd814e0,
DISC-MEDIA-0008,0,investor,resolved,retrieved_extracted,trafilatura,1604,a1ae55b05ba3b6a299305c457b050295e2602fd0427a1981bf28864afda21753,
DISC-MEDIA-0009,0,labour,resolved,retrieved_extracted,trafilatura,1424,90b69f96113f4f62a4f3a7d12e0ae741315bb81f4658a0a5d6ee2fee0241e06f,
DISC-MEDIA-0010,0,government,resolved,retrieved_extracted,trafilatura,1515,169f055a613370904455abf7189c5a2b18d6e7236b47fe24b5af220dceb19df0,
DISC-MEDIA-0011,0,government,resolved,retrieved_extracted,trafilatura,1344,4e7ca8bf8233572e9e323ea0de77d1d1bf8ff82359cdc34517adb97f9c127ca4,
DISC-MEDIA-0012,0,government,resolved,retrieved_extracted,trafilatura,2523,76ef61d43f5f4806e4d550d7b7d4e0a3e1b1324ec16e7a6b8395c7090c6ecebe,
DISC-MEDIA-0013,0,,unresolved,retrieved_extracted,trafilatura,1510,3d30e5f1d0d1beeb02afeca1248edff40a1642ce33b8db5ef09222b98a47af1b,
DISC-MEDIA-0014,0,government,resolved,retrieved_extracted,trafilatura,1706,d7cdaf78fef76a143a8a96f60a6fa19b682fb9bfcdaa3bf319d7c13e67886820,
DISC-MEDIA-0015,0,labour,resolved,retrieved_extracted,trafilatura,1007,241c41cbfd6fed26622503cee52b257c487b04dc1ef7c70b42fcd894ee364492,
DISC-MEDIA-0016,0,labour,resolved,retrieved_extracted,trafilatura,1155,e73fbbb2e9ecd42e0a5caf5fb2218a3583dcc635e13b7a9a30c938cfdf3caf7a,
DISC-MEDIA-0017,0,labour,resolved,retrieved_extracted,trafilatura,1607,6ad8c53b2a4f77fd90ec63c73e454671d5e7734b9089f60953035a174a4b8ad9,
DISC-MEDIA-0018,0,government,resolved,retrieved_extracted,trafilatura,1702,320feee87bb29e4b5cc8e4e7e5094a7b11564329cce97c9aeb32aa2c34576909,
DISC-MEDIA-0019,0,labour,resolved,retrieved_extracted,trafilatura,920,9f5d0bcfe8c2a9fea1676785280ce8199037d8bd90694aaac73a751bec33246c,
DISC-MEDIA-0020,0,government,resolved,retrieved_extracted,trafilatura,1731,f886351e30fef0fcd66cef1cce5cad58e214b76fcc3b887ff0af79c015d61fd0,
DISC-MEDIA-0021,0,government,resolved,retrieved_extracted,trafilatura,1436,ab7cbaef26d0912bf3e51a0c2181f20f21bab59d35f84c040c8349908c757c96,
DISC-MEDIA-0022,0,government,resolved,retrieved_extracted,trafilatura,901,d52209e2f6d8797776edd8b15807f2cddb7d9afe1b4418448195befed274cf96,
DISC-MEDIA-0023,0,government,resolved,retrieved_extracted,trafilatura,978,8d53f6610b4451bb814a89c5c84aa7a2d3426ea6ee0863014037b82aa30a18f5,
DISC-MEDIA-0024,0,government,resolved,retrieved_extracted,trafilatura,1658,102da609e128447d2b6596f825c17b3ed33fbe3d472a037226fdcfd30f6dda08,
DISC-MEDIA-0025,0,government,resolved,retrieved_extracted,trafilatura,941,52c094fcb9ee08e42fb6e84db2a2ed098027a7d250b7f166b99d634d7755b6f4,
DISC-MEDIA-0026,0,government,resolved,retrieved_extracted,trafilatura,1219,ebe8f581fa4bfe899dc70e808fcb20a348098397b70ef5b2f759e4719ca12564,
