record_id,title,year,publisher,url,execution_recovery_status,execution_extraction_method,execution_words,execution_text_sha256,final_url,error,frozen_provenance_text_sha256,frozen_provenance_text_words
OFFICIAL-001,AMCU Heads of Argument,2014,AMCU,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-AMCU.pdf,retrieved_extracted,pypdf,57418,72a14c105c27ddcc6ce49d164390ad7327a16476782b1a21e813d79c803afaeb,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-AMCU.pdf,,2329ab8cdbe3f8fa3df7ee773e7e983be5312963fdc8b679bdef89a76073d5e8,57418
OFFICIAL-002,Bapo ba Mogale Heads of Argument,2014,Bapo ba Mogale,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-BapoBaMogale.pdf,retrieved_extracted,pypdf,4217,d1fde7173357d6dda1d35e9c03a3f0379a1d4225624e197bdd133dba4d5f70cc,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-BapoBaMogale.pdf,,bf91091cb4bf84e25d30f185ba2eb3585778bf3380225d4784d38d5dc3502d81,4217
OFFICIAL-003,DMR-Shabangu Heads of Argument,2014,DMR / Minister Shabangu,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DMR-Shabangu.pdf,retrieved_extracted,pypdf,4322,66bc1e06a21695264c7f2349df24b073c6fd2a24afd314643ff4a7571020eb4c,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DMR-Shabangu.pdf,,5288dfb49d45a8f549d5229874e443544b52b896cbe321e8d1b7863392bdce22,4322
OFFICIAL-004,Heads of Argument of Evidence Leaders,2014,Evidence Leaders,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-EvidenceLeaders.pdf,retrieved_extracted,pypdf,169497,75d4af7a0e5bd375738edd77c565b15b73ab97c43837b1ef3d788aba7a611be0,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-EvidenceLeaders.pdf,,f4ce0be5d9baf3db8d7d074b677d63407395ef7b7bdc5299da78d6cbd1e34796,169497
OFFICIAL-005,Heads of Argument on behalf of Families,2014,Families,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Families.pdf,retrieved_extracted,pypdf,76233,a9b8f1c82d0978f4dac94ec4df90331e84c95c248a791fcbec47042bb1eb6fed,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Families.pdf,,97197fa8184c836d151d3fbd7b4a1ab98de9f6d2e3c2f1ad892a10be1a866b60,76233
OFFICIAL-006,Heads of Argument of Injured and Arrested Persons,2014,Injured and Arrested Persons,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-InjuredArrested.pdf,retrieved_extracted,pypdf,73475,770c6fcb8108ef1b039c79e438a1489cdb442e18de39919fd8b69c66c6b26153,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-InjuredArrested.pdf,,356f1855cd0637e8952cc67ecdc60abc4b4d9c4f5a4c2cab6c9f67b8f1af8574,73475
OFFICIAL-007,Lonmin Heads of Argument,2014,Lonmin,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Lonmin.pdf,retrieved_extracted,pypdf,45505,f48107132dae77e2661dbee4ab12b78a8afd778a8744fdddd9fe8284409a27ac,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Lonmin.pdf,,5c1f24061040aecc1558bba8d8970a60f48a6f7dcafe4ce43a04a2f74a457973,45505
OFFICIAL-008,Heads of Argument of the Legal Resources Centre (Phase 1) on behalf of the Ledingoane Family and Bench Marks Foundation,2014,Bench Marks Foundation / Ledingoane Family (represented by Legal Resources Centre),https://www.justice.gov.za/comm-mrk/docs/201411-HoA-LRC.pdf,retrieved_extracted,pypdf,69796,d0f4fdd08db181ffd47fdeba323238500aa34a18e65f38493e59ef66d4cfa584,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-LRC.pdf,,a649b91c5e35c9cfc39e86fd53c0a163fe971bc0f937ee9ab30b37911d9bbb8f,69796
OFFICIAL-009,Mthethwa Heads of Argument,2014,Nathi Mthethwa,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Mthethwa.pdf,retrieved_extracted,pypdf,6365,3afac08dde92e496a25e85dfaef2f097a85ef16c7c4d2dd25827ff66d0155061,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Mthethwa.pdf,,892f98b329784669fab509bbb8e55f1e9689245c0fe10bd136794bf3a7080589,6365
OFFICIAL-010,NUM & Mrs Fundi Heads of Argument,2014,NUM and Mrs Fundi,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-NUM-MrsFundi.pdf,retrieved_extracted,pypdf,43558,a63cfb5ccb5f9e3df099f74c83a47627fb5b8b838d91e6d11a4938ea74df7ce6,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-NUM-MrsFundi.pdf,,3fdc8bf2a63f46b2df2e4212f34f53a78de15400010c50235f7f6284855cf532,43558
OFFICIAL-011,Ramaphosa Heads of Argument,2014,Cyril Ramaphosa,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Ramaphosa.pdf,retrieved_extracted,pypdf,16541,e8348adc3989aac88f6bc48f5e980a7d7ab3dd517951b54963118a2df79a9df4,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Ramaphosa.pdf,,ab7a93971c586d66ee5da7a6c867d195ffbd0917fc9b5447d789395177580feb,16541
OFFICIAL-012,SAHRC Heads of Argument,2014,South African Human Rights Commission,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-SAHRC.pdf,retrieved_extracted,pypdf,174810,bb92706b8a476cd9c19a0e4062a371b7cc88bbc3020a01522def51f2b2ac6f11,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-SAHRC.pdf,,6bdf5798adaa8e731758f3498481812084e324086335a3b606ec3e17c364d6d6,174810
OFFICIAL-013,SAPS Heads of Argument,2014,South African Police Service,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-SAPS.pdf,retrieved_extracted,pypdf,57831,ce2598d1386ecab6371d46baaf5db58662afe87a059b8a094161d0e25403a3dd,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-SAPS.pdf,,a7b4478bacea28047be412d4fc4f21ff7805f53ecb495d4f70e8e656063dfe18,57831
INST-001,Marikana Commission of Inquiry: Report on matters of public national and international concern arising out of tragic incidents at Lonmin Mine in Marikana,2015,South African Human Rights Commission mirror of official Farlam report,https://sahrc.org.za/home/21/files/marikana-report-1.pdf,retrieved_extracted,pypdf,153495,94665832387751bfc73e5f241d0971bf0500a9e28cfc37154b5e621cde8daf07,https://sahrc.org.za/home/21/files/marikana-report-1.pdf,,163a99e15ce37d18416ec8c0240fbd9d2295b43369d59437a4481394241b391d,153495
INST-002,Policy Gap 6: A Review of Platinum Mining in the Bojanala District of the North West Province,2012,Bench Marks Foundation,https://www.bench-marks.org.za/wp-content/uploads/2021/02/rustenburg_review_policy_gap_final_aug_2012.pdf,retrieved_extracted,pypdf,51202,8f8867497238f8fbf27adf841646975fe945d5271fa51f2099f7b95eaaeccfd1,https://www.bench-marks.org.za/wp-content/uploads/2021/02/rustenburg_review_policy_gap_final_aug_2012.pdf,,11211d480bd110f3ad9a047f1571a99f6af3aa7929786c2fa79123f56b604079,51202
INST-005,Statement on behalf of the deceased miners' families represented before the Marikana Commission of Inquiry,2013,Socio-Economic Rights Institute of South Africa,https://justice.gov.za/comm-mrk/exhibits/Exhibit-FFF-26.pdf,retrieved_extracted,pypdf,267,bed492ab350792e9810a2f386182358089507fb54239d342822a236daf2cbcb8,https://justice.gov.za/comm-mrk/exhibits/Exhibit-FFF-26.pdf,,202893e33c78b34d58da9f4c3629db2c8d187835c2ed2238dd883f94618e1f31,267
