record_id,title,year,publisher,url,stakeholder_group_proxy,stakeholder_confidence,stakeholder_method,stakeholder_score_government,stakeholder_score_investor,stakeholder_score_community,stakeholder_score_labour,stakeholder_score_NGO,stance_a_label,stance_a_score,stance_a_positive_sentences,stance_a_negative_sentences,stance_b_label,stance_b_score,stance_b_positive_sentences,stance_b_negative_sentences,draft_reconstructed_label,annotation_confidence,needs_review,review_reason,positive_cue_families,negative_cue_families,final_reconstructed_label,final_label_method,adjudication_score,pass1_stakeholder_group_proxy,pass1_stakeholder_confidence,pass1_stakeholder_method,final_stakeholder_group,final_stakeholder_status,final_stakeholder_method,final_stakeholder_confidence,third_pass_score_government,third_pass_score_investor,third_pass_score_community,third_pass_score_labour,third_pass_score_NGO
OFFICIAL-004,Heads of Argument of Evidence Leaders,2014,Evidence Leaders,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-EvidenceLeaders.pdf,labour,0.0356,dominant_voice_proxy,892.900,469.000,88.100,925.900,0.000,0,-2.61758,120,1657,0,-34.63676,15,1483,0,1.0000,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,labour,0.0356,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0097,528.800,339.200,57.000,534.000,0.000
MEDIA-034,Miners regress on ARV treatment – Lonmin,2014,Mining Weekly,https://www.miningweekly.com/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,labour,0.0137,dominant_voice_proxy,2.500,14.400,0.000,14.600,0.000,0,-0.40547,1,2,0,-1.41421,0,2,0,0.3639,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,labour,0.0137,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.2230,3.800,21.600,0.000,27.800,0.000
expanded_media_candidates_batch1__EXP-MEDIA-012,Daily Maverick's SA Persons of the Year: The victims of Marikana,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-12-31-daily-mavericks-sa-persons-of-the-year-the-victims-of-marikana/,labour,0.1111,dominant_voice_proxy,2.800,1.750,0.700,3.150,0.350,0,-2.48491,0,11,0,-3.16228,0,10,0,1.0000,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,labour,0.1111,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.4900,0.800,0.000,0.000,0.000,0.000
expanded_media_candidates_batch1__EXP-MEDIA-030,"AMCU to serve strike notice on Lonmin, Implats",2014,Mining Weekly,https://www.miningweekly.com/article/amcu-to-serve-strike-notice-on-lonmin-implats-2014-01-17,labour,0.0278,dominant_voice_proxy,0.350,12.250,0.000,12.600,0.000,0,-2.75944,0,4,0,-3.50000,0,4,0,1.0000,true,stakeholder_voice_low_confidence,,(?:strike|protest|unrest|industrial action) | strike,0,pass1_independent_readings_agree,,labour,0.0278,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0396,0.800,19.400,0.000,20.200,0.000
expanded_media_candidates_batch1__EXP-MEDIA-034,"Uphold overwhelming wish of workers to return, pleads Lonmin",2014,Mining Weekly,https://www.miningweekly.com/article/uphold-overwhelming-wish-of-workers-to-return-pleads-lonmin-2014-05-12,labour,0.0112,dominant_voice_proxy,3.550,35.350,0.350,35.750,0.000,0,-3.09104,0,21,0,-3.35890,1,19,0,1.0000,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,labour,0.0112,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.1755,3.000,40.400,0.000,49.000,0.000
SAT-EARLY-MEDIA-005,Bapo cancel protest march against Lonmin after reaching new employment deal,2015,Mining Weekly / African News Agency,https://www.miningweekly.com/article/bapo-cancel-protest-march-against-lonmin-after-reaching-new-employment-deal-2015-06-17,community,0.0695,dominant_voice_proxy,2.500,19.400,20.850,0.000,0.000,0,-1.37314,3,4,0,-2.23205,1,3,0,0.7210,true,stakeholder_voice_low_confidence,,(?:strike|protest|unrest|industrial action) | protest,0,pass1_independent_readings_agree,,community,0.0695,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0201,3.800,29.200,29.800,0.000,0.000
SAT-EARLY-MEDIA-012,A tale of two worlds - Sun City and Marikana,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-03-a-tale-of-two-worlds-sun-city-and-marikana/,government,0.0000,dominant_voice_proxy,1.400,1.400,0.000,1.400,0.000,0,-1.09861,1,5,0,-2.23607,0,5,0,0.6669,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,government,0.0000,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.4900,1.600,0.800,0.000,0.000,0.000
SAT4-MEDIA-007,"Marikana massacre: Ten years on, the truth-tellers still carry the weight of what they uncovered",2022,Daily Maverick,https://www.dailymaverick.co.za/article/2022-08-15-ten-years-on-the-marikana-truth-tellers-still-carry-the-weight-of-what-they-uncovered/,government,0.0839,dominant_voice_proxy,7.750,7.100,4.600,4.950,0.000,0,-4.32805,0,23,0,-5.74264,0,18,0,1.0000,true,stakeholder_voice_low_confidence,,(?:massacre|killings?|shootings?|deaths?|torture) | massacre,0,pass1_independent_readings_agree,,government,0.0839,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0882,6.200,6.800,3.000,4.600,0.000
SAT5-MEDIA-003,Rights organisations are seeking accountability for failed Marikana housing,2022,Engineering News,https://www.engineeringnews.co.za/article/human-rights-orgs-are-seeking-accountability-for-failed-marikana-housing-2022-08-16,government,0.0277,dominant_voice_proxy,27.100,26.350,2.850,9.250,2.500,0,-1.62000,4,7,0,-2.73154,2,7,0,0.8703,true,stakeholder_voice_low_confidence,,(?:failed|failure|non[- ]compliance|breach|neglect|shortcoming) | failed|failure,0,pass1_independent_readings_agree,,government,0.0277,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.0806,37.200,34.200,3.800,12.200,3.800
SAT8-MEDIA-006,"Marikana report: Despite the release promise, pressure on Zuma persists",2015,Daily Maverick,https://www.dailymaverick.co.za/article/2015-05-27-marikana-report-despite-the-release-promise-pressure-on-zuma-persists/,labour,0.0757,dominant_voice_proxy,5.650,0.000,3.550,9.250,8.550,0,-2.19722,0,8,0,-2.00000,0,4,0,0.8394,true,stakeholder_voice_low_confidence,,,0,pass1_independent_readings_agree,,labour,0.0757,dominant_voice_proxy,,unresolved,unresolved_stakeholder_voice_ambiguous,0.1404,5.400,0.000,3.000,9.800,11.400
