record_id,title,year,publisher,url,stakeholder_group_proxy,stakeholder_confidence,stakeholder_method,stakeholder_score_government,stakeholder_score_investor,stakeholder_score_community,stakeholder_score_labour,stakeholder_score_NGO,stance_a_label,stance_a_score,stance_a_positive_sentences,stance_a_negative_sentences,stance_b_label,stance_b_score,stance_b_positive_sentences,stance_b_negative_sentences,draft_reconstructed_label,annotation_confidence,needs_review,review_reason,positive_cue_families,negative_cue_families,final_reconstructed_label,final_label_method,adjudication_score
MEDIA-031,Lonmin donates 50 ha of land for residential development,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,investor,0.6223,dominant_voice_proxy,3.550,9.400,2.500,3.550,0.000,1,0.51083,4,2,0,-1.00000,0,1,,0.3022,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.093502
MEDIA-042,Nothing off table as Lonmin pursues value in low platinum price environment,2017,Mining Weekly,https://www.miningweekly.com/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,investor,0.7407,dominant_voice_proxy,2.800,27.000,0.000,7.000,0.000,1,0.51083,4,2,0,-1.00000,0,1,,0.3022,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.093502
MEDIA-043,"Sibanye-Stillwater to acquire embattled Lonmin, completes PGMs strategy",2017,Mining Weekly,https://www.miningweekly.com/article/sibanye-stillwater-to-acquire-embattled-lonmin-in-all-share-offer-2017-12-14,investor,0.9879,dominant_voice_proxy,0.700,57.850,0.000,0.350,0.000,1,0.00000,2,2,0,-0.41421,1,2,,0.0828,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.165684
MEDIA-046,UK regulatory body approves Sibanye's acquisition of Lonmin,2018,Mining Weekly,https://www.miningweekly.com/article/uk-regulatory-body-approves-sibanyes-acquisition-of-lonmin-2018-06-28,investor,0.8501,dominant_voice_proxy,3.350,22.350,0.000,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
MEDIA-050,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,2019,Mining Weekly,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,investor,0.4937,dominant_voice_proxy,6.050,11.950,1.750,1.050,0.000,1,0.00000,1,1,1,0.00000,1,1,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
MEDIA-052,Sibanye-Stillwater intensifies PGMs presence,2019,Mining Weekly,https://www.miningweekly.com/article/sibanye-stillwater-intensifies-pgms-presence-2019-08-23,investor,1.0000,dominant_voice_proxy,0.000,23.550,0.000,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
CORP-007,Lonmin Plc Annual Report and Accounts 2018,2018,Lonmin Plc,https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/lonmin-annual-report-2018.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.02871,105,102,0,-0.42877,46,52,,0.0915,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.154282
CORP-010,Sibanye-Stillwater Integrated Report 2021,2021,Sibanye-Stillwater,https://reports.sibanyestillwater.com/2021/,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,0,-0.28768,5,7,0,-0.31784,2,3,,0.1211,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.299744
CORP-011,Sibanye-Stillwater Integrated Report 2022,2022,Sibanye-Stillwater,https://reports.sibanyestillwater.com/2022/,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,0.000000
CORP-012,Sibanye-Stillwater Integrated Report 2023,2023,Sibanye-Stillwater,https://reports.sibanyestillwater.com/2023/,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.40547,2,1,0,-1.00000,0,1,,0.2811,true,stance_readings_disagree_or_low_margin,,,,unresolved_low_combined_margin,-0.156718
