record_id,title,publisher,url,old_text_words,old_text_sha256,fetch_status,fetch_error,extraction_method,candidate_extractions,fresh_text_words,fresh_text_sha256,recovery_disposition
DISC-MEDIA-0286,Marikana Were Tired Of Memorialising,Daily Maverick,https://www.dailymaverick.co.za/article/2021-08-17-marikana-were-tired-of-memorialising/,0,,recovered_no_text,no_candidate_body_ge_80_words,,0,0,,still_unresolved_text_recovery
DISC-MEDIA-0455,Lonmin Going All Out To Find Partners To Help It Address Pressing Accommodation Challenge,Engineering News,https://www.engineeringnews.co.za/article/lonmin-going-all-out-to-find-partners-to-help-it-address-pressing-accommodation-challenge-2017-04-07,264,fb225216f881f4b73cd58febf7830f5f3b4fa74e39be79d9290157eab194a9b1,recovered_extracted,,trafilatura,1,266,bb0feb26c70e4edfa38fad416ebdeb26bc26c9584b10790211b48dcecdb14cba,fresh_distinct_text_recovered_requires_content_qc
DISC-MEDIA-0477,Lonmin Plans To Cut 4 100 Workers As It Closes Platinum Mines,Engineering News,https://www.engineeringnews.co.za/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-31,,fb225216f881f4b73cd58febf7830f5f3b4fa74e39be79d9290157eab194a9b1,recovered_extracted,,trafilatura,1,266,bb0feb26c70e4edfa38fad416ebdeb26bc26c9584b10790211b48dcecdb14cba,fresh_distinct_text_recovered_requires_content_qc
DISC-MEDIA-0546,Lrc Holding Saps And Lonmin Responsible For Deaths And Injuries Of Mineworkers,Engineering News,https://www.engineeringnews.co.za/article/lrc-holding-saps-and-lonmin-responsible-for-deaths-and-injuries-of-mineworkers-2014-11-14,264,fb225216f881f4b73cd58febf7830f5f3b4fa74e39be79d9290157eab194a9b1,recovered_extracted,,trafilatura,1,266,bb0feb26c70e4edfa38fad416ebdeb26bc26c9584b10790211b48dcecdb14cba,fresh_distinct_text_recovered_requires_content_qc
DISC-MEDIA-0554,Marikana Commission Cant Be Blamed For Fact That There Were No Prosecutions Judge Farlam,Engineering News,https://www.engineeringnews.co.za/article/marikana-commission-cant-be-blamed-for-fact-that-there-were-no-prosecutions-judge-farlam-2019-08-16,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,recovered_extracted,,trafilatura,1,294,44538ad32af70e826a9b4d7909c4b63b4def0552564e1bc72e48df746fde0412,fresh_distinct_text_recovered_requires_content_qc
DISC-MEDIA-0556,Marikana Events Happened Under Our Watch Anc Admits,Engineering News,https://www.engineeringnews.co.za/article/marikana-events-happened-under-our-watch-anc-admits-2021-08-16,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,recovered_extracted,,trafilatura,1,294,44538ad32af70e826a9b4d7909c4b63b4def0552564e1bc72e48df746fde0412,fresh_distinct_text_recovered_requires_content_qc
DISC-MEDIA-0559,Marikana Forced Saps To Correct Where It Went Wrong Bheki Cele,Engineering News,https://www.engineeringnews.co.za/article/marikana-forced-saps-to-correct-where-it-went-wrong-bheki-cele-2021-03-29,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,recovered_extracted,,trafilatura,1,294,44538ad32af70e826a9b4d7909c4b63b4def0552564e1bc72e48df746fde0412,fresh_distinct_text_recovered_requires_content_qc
DISC-MEDIA-0566,Marikana Massacre As Anc Trumpets R170M Paid To Victims Families Calls For Justice Rage On,Engineering News,https://www.engineeringnews.co.za/article/marikana-massacre-as-anc-trumpets-r170m-paid-to-victims-families-calls-for-justice-rage-on-2023-08-16,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,recovered_extracted,,trafilatura,1,294,44538ad32af70e826a9b4d7909c4b63b4def0552564e1bc72e48df746fde0412,fresh_distinct_text_recovered_requires_content_qc
DISC-MEDIA-0588,Never Again Can We Allow Such A Tragedy To Befall Our Nation Ramaphosa On Marikana Massacre,Engineering News,https://www.engineeringnews.co.za/article/never-again-can-we-allow-such-a-tragedy-to-befall-our-nation-ramaphosa-on-marikana-massacre-2019-08-16,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,recovered_extracted,,trafilatura,1,294,44538ad32af70e826a9b4d7909c4b63b4def0552564e1bc72e48df746fde0412,fresh_distinct_text_recovered_requires_content_qc
DISC-MEDIA-0613,Ramaphosa Welcomes Court Judgment Says He Was Not The Cause Of Harmful Conduct In Marikana,Engineering News,https://www.engineeringnews.co.za/article/ramaphosa-welcomes-court-judgment-says-he-was-not-the-cause-of-harmful-conduct-in-marikana-2022-07-05,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,recovered_extracted,,trafilatura,1,294,44538ad32af70e826a9b4d7909c4b63b4def0552564e1bc72e48df746fde0412,fresh_distinct_text_recovered_requires_content_qc
DISC-MEDIA-0686,Why Have The Police Learned Nothing From Marikana,Engineering News,https://www.engineeringnews.co.za/article/why-have-the-police-learned-nothing-from-marikana-2013-08-16,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,recovered_extracted,,trafilatura,1,294,44538ad32af70e826a9b4d7909c4b63b4def0552564e1bc72e48df746fde0412,fresh_distinct_text_recovered_requires_content_qc
