record_id_a,record_id_b,title_a,title_b,year_a,year_b,publisher_a,publisher_b,url_a,url_b,host_a,host_b,analysis_ready_a,analysis_ready_b,text_sha256_a,text_sha256_b,same_trusted_hash,same_normalised_title,title_sequence_similarity,title_token_jaccard,slug_sequence_similarity,same_host,creamer_cross_site,candidate_signal,block_reasons,review_decision
MEDIA-010,DISC-MEDIA-0656,Slain Marikana workers to be remembered,Slain Marikana Workers To Be Remembered,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/slain-marikana-workers-to-be-remembered-2013-08-13,https://www.engineeringnews.co.za/article/slain-marikana-workers-to-be-remembered-2013-08-13,miningweekly.com,engineeringnews.co.za,true,true,173f2b85578dbef9c6d8c3272c38418ae78fe87a01ec60877de5e04f88147c11,4e69553c50d5aebbe2143f6f911833ffe51800b29c392bdf205e7abced504227,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-013,DISC-MEDIA-0610,Ramaphosa questioned about Marikana inaction,Ramaphosa Questioned About Marikana Inaction,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/ramaphosa-questioned-about-marikana-inaction-2014-08-12,https://www.engineeringnews.co.za/article/ramaphosa-questioned-about-marikana-inaction-2014-08-12,miningweekly.com,engineeringnews.co.za,true,true,194bd5ef0c4fab356f1d5287f4ae8026d01fd34522c2700c87fce67a21b09465,7eca024ba909dab5f7c424731ea32fcba06ec2b2c6237d280f11f8525211bb26,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-016,DISC-MEDIA-0527,Lonmin unveils design proposal for Marikana memorial park showcases new apartments,Lonmin Unveils Design Proposal For Marikana Memorial Park Showcases New Apartments,2017,2017,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,miningweekly.com,engineeringnews.co.za,true,true,da373ba2081666be4d0becae88df4728057bc7a58a96a9498f4427fde771a997,83def0e825670814873daa068fcc12af8e098db976df5e2603884e4305ec6136,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-018,DISC-MEDIA-0640,Sibanye hosts Marikana memorial lecture,Sibanye Hosts Marikana Memorial Lecture,2020,2020,Mining Weekly,Engineering News,https://www.miningweekly.com/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,https://www.engineeringnews.co.za/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,miningweekly.com,engineeringnews.co.za,true,true,d0287e54705dfc9ccf054bdf003e7ab908f14ead8315dae75e2f9dd42d8bea51,2c8d60b709cc129a754b5efac02330a35bce85f24ff47f5c99bee0a80ec4b086,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-022,DISC-MEDIA-0480,"Lonmin Q1 2014 mining production down 10%, will revise full-year guidance as result of strikes",Lonmin Q1 2014 Mining Production Down 10 Will Revise Full Year Guidance As Result Of Strikes,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-q1-2014-mining-production-down-10-will-revise-full-year-guidance-as-result-of-strikes-2014-01-30,https://www.engineeringnews.co.za/article/lonmin-q1-2014-mining-production-down-10-will-revise-full-year-guidance-as-result-of-strikes-2014-01-30,miningweekly.com,engineeringnews.co.za,true,true,2ae5087caf26742d63f762d5a98eca770d88255e640e9b20528f817a31faace3,396f6738d4eea771b916be6808589f3a3700585532b8df9e0d4be6e3003b275d,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-024,DISC-MEDIA-0419,"Lonmin, AMCU celebrate finalisation of landmark BEE equity deal",Lonmin Amcu Celebrate Finalisation Of Landmark Bee Equity Deal,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-amcu-celebrate-finalisation-of-landmark-bee-equity-deal-2014-12-12,https://www.engineeringnews.co.za/article/lonmin-amcu-celebrate-finalisation-of-landmark-bee-equity-deal-2014-12-12,miningweekly.com,engineeringnews.co.za,true,true,3233217edb1b12bfcf6bfce122c706190f38a66b8dea0db8cdc3b81a7c01302b,3ffb2c1161ceeeeb6c9ec3c9296f44d940fca2c67395036998153683a2106cf5,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-025,DISC-MEDIA-0400,"Farlam wants workers housed, Mining Charter goes to court, coal firms transform for Eskom",Farlam Wants Workers Housed Mining Charter Goes To Court Coal Firms Transform For Eskom,2015,2015,Mining Weekly,Engineering News,https://www.miningweekly.com/article/farlam-wants-workers-housed-mining-charter-goes-to-court-coal-firms-transform-for-eskom-2015-06-26,https://www.engineeringnews.co.za/article/farlam-wants-workers-housed-mining-charter-goes-to-court-coal-firms-transform-for-eskom-2015-06-26,miningweekly.com,engineeringnews.co.za,true,true,b92b1db90083c42daf69b69d0a02bc85bbc8582006aebb6faef2bf3678d59487,9b50f81754ffe002d4e2de9358ad98ea8c502b129b7948cf87ec0ba0786803c9,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-031,DISC-MEDIA-0450,Lonmin donates 50 ha of land for residential development,Lonmin Donates 50 Ha Of Land For Residential Development,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,https://www.engineeringnews.co.za/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-11-08,miningweekly.com,engineeringnews.co.za,true,true,8abafe52c18e50ba526763013b9113b25c5f0031c9a750c110e9b533f188ec53,5b77705aa00d0f47da883a3d3bba42452c77a81cb27f78d9c53233b1da3e8ba1,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-033,DISC-MEDIA-0665,Strike-hit mothers have no food to put on the table – Lonmin,Strike Hit Mothers Have No Food To Put On The Table Lonmin,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,https://www.engineeringnews.co.za/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,miningweekly.com,engineeringnews.co.za,true,true,bdde2146058551a3cb378e07c37702ea896f053309cfb27388040e0db5d90f9f,d0d8ad3f9a97f83d690cfdf1aee34adabd26c811affcb9d66b3a98536ae8f3dc,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
MEDIA-034,DISC-MEDIA-0582,Miners regress on ARV treatment – Lonmin,Miners Regress On Arv Treatment Lonmin,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,https://www.engineeringnews.co.za/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,miningweekly.com,engineeringnews.co.za,true,true,7fe9419c523f7bccdfc149fb1e17da4233c16f2f502960fbea6049db60811d9d,32dff3710011ff2a46ffbbff828f71baf03bf4288a32ce55691254150f772aee,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
