record_id_a,record_id_b,title_a,title_b,url_a,url_b,candidate_signal,fresh_status_a,fresh_status_b,fresh_words_a,fresh_words_b,fresh_sha256_a,fresh_sha256_b,extractor_a,extractor_b,fresh_hash_collision_a,fresh_hash_collision_b,sequence_similarity,token_set_jaccard,five_word_shingle_jaccard,text_evidence_signal,final_duplicate_decision,final_duplicate_reason
MEDIA-010,DISC-MEDIA-0656,Slain Marikana workers to be remembered,Slain Marikana Workers To Be Remembered,https://www.miningweekly.com/article/slain-marikana-workers-to-be-remembered-2013-08-13,https://www.engineeringnews.co.za/article/slain-marikana-workers-to-be-remembered-2013-08-13,exact_normalised_title,retrieved_extracted,retrieved_extracted,840,840,22736f343d9e757131add6e5e0b69370f0c5c834d80601700f591ba425605584,22736f343d9e757131add6e5e0b69370f0c5c834d80601700f591ba425605584,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
MEDIA-013,DISC-MEDIA-0610,Ramaphosa questioned about Marikana inaction,Ramaphosa Questioned About Marikana Inaction,https://www.miningweekly.com/article/ramaphosa-questioned-about-marikana-inaction-2014-08-12,https://www.engineeringnews.co.za/article/ramaphosa-questioned-about-marikana-inaction-2014-08-12,exact_normalised_title,retrieved_extracted,retrieved_extracted,685,685,87c2c133ce0dc0507a07535330aa446b14d1ae5acfeec7d4abb2572ee6faa0ef,87c2c133ce0dc0507a07535330aa446b14d1ae5acfeec7d4abb2572ee6faa0ef,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
MEDIA-016,DISC-MEDIA-0527,Lonmin unveils design proposal for Marikana memorial park showcases new apartments,Lonmin Unveils Design Proposal For Marikana Memorial Park Showcases New Apartments,https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,exact_normalised_title,retrieved_extracted,retrieved_extracted,907,907,c4e7db0801cbcbe986814952268d6ffdb185cfbcc4e426e0f577cf811a162255,c4e7db0801cbcbe986814952268d6ffdb185cfbcc4e426e0f577cf811a162255,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
MEDIA-018,DISC-MEDIA-0640,Sibanye hosts Marikana memorial lecture,Sibanye Hosts Marikana Memorial Lecture,https://www.miningweekly.com/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,https://www.engineeringnews.co.za/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,exact_normalised_title,retrieved_extracted,retrieved_extracted,1154,1154,7672c7413f01d66b9fb8e65449e7d891417606ca0069e1e1d05c3a0771f650cd,7672c7413f01d66b9fb8e65449e7d891417606ca0069e1e1d05c3a0771f650cd,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
MEDIA-022,DISC-MEDIA-0480,"Lonmin Q1 2014 mining production down 10%, will revise full-year guidance as result of strikes",Lonmin Q1 2014 Mining Production Down 10 Will Revise Full Year Guidance As Result Of Strikes,https://www.miningweekly.com/article/lonmin-q1-2014-mining-production-down-10-will-revise-full-year-guidance-as-result-of-strikes-2014-01-30,https://www.engineeringnews.co.za/article/lonmin-q1-2014-mining-production-down-10-will-revise-full-year-guidance-as-result-of-strikes-2014-01-30,exact_normalised_title,retrieved_extracted,retrieved_extracted,822,822,59b0e1f282564aa0649c2b0d0ab9af66deccf7af3f3f059ffc6a65b2b98525e8,59b0e1f282564aa0649c2b0d0ab9af66deccf7af3f3f059ffc6a65b2b98525e8,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
MEDIA-024,DISC-MEDIA-0419,"Lonmin, AMCU celebrate finalisation of landmark BEE equity deal",Lonmin Amcu Celebrate Finalisation Of Landmark Bee Equity Deal,https://www.miningweekly.com/article/lonmin-amcu-celebrate-finalisation-of-landmark-bee-equity-deal-2014-12-12,https://www.engineeringnews.co.za/article/lonmin-amcu-celebrate-finalisation-of-landmark-bee-equity-deal-2014-12-12,exact_normalised_title,retrieved_extracted,retrieved_extracted,962,962,13c4f16fd4fdbc0e246ac816784057e08112a5e2962e047bb870e2f00a4ed2ec,13c4f16fd4fdbc0e246ac816784057e08112a5e2962e047bb870e2f00a4ed2ec,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
MEDIA-025,DISC-MEDIA-0400,"Farlam wants workers housed, Mining Charter goes to court, coal firms transform for Eskom",Farlam Wants Workers Housed Mining Charter Goes To Court Coal Firms Transform For Eskom,https://www.miningweekly.com/article/farlam-wants-workers-housed-mining-charter-goes-to-court-coal-firms-transform-for-eskom-2015-06-26,https://www.engineeringnews.co.za/article/farlam-wants-workers-housed-mining-charter-goes-to-court-coal-firms-transform-for-eskom-2015-06-26,exact_normalised_title,retrieved_extracted,retrieved_extracted,854,854,544d6cd8ce53507cd303b8ceb45b769f69c3067daddd7af006604751cf4949a8,544d6cd8ce53507cd303b8ceb45b769f69c3067daddd7af006604751cf4949a8,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
MEDIA-031,DISC-MEDIA-0450,Lonmin donates 50 ha of land for residential development,Lonmin Donates 50 Ha Of Land For Residential Development,https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,https://www.engineeringnews.co.za/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-11-08,exact_normalised_title,retrieved_extracted,retrieved_extracted,605,600,07377bb13e65af406c0ea218a3dd019905ee6637c712071a437187de56d062e3,a462f65648f3a71904eb01a082fbadf5895897ef32874f0e793605bdae29ca12,trafilatura,trafilatura,false,false,0.985694,0.942761,0.769748,high_text_similarity_republication_review,,
MEDIA-033,DISC-MEDIA-0665,Strike-hit mothers have no food to put on the table – Lonmin,Strike Hit Mothers Have No Food To Put On The Table Lonmin,https://www.miningweekly.com/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,https://www.engineeringnews.co.za/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,exact_normalised_title,retrieved_extracted,retrieved_extracted,1284,1284,9a1a0b9ffe779d6be6db35bcad604ff43697af950d937cc94e7533bead6468e3,9a1a0b9ffe779d6be6db35bcad604ff43697af950d937cc94e7533bead6468e3,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
MEDIA-034,DISC-MEDIA-0582,Miners regress on ARV treatment – Lonmin,Miners Regress On Arv Treatment Lonmin,https://www.miningweekly.com/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,https://www.engineeringnews.co.za/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,exact_normalised_title,retrieved_extracted,retrieved_extracted,624,624,7da8403e80798c715e9e0cf1874c8d8f645317f331115875dd5b6bfef4f3ee0f,7da8403e80798c715e9e0cf1874c8d8f645317f331115875dd5b6bfef4f3ee0f,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
