candidate_doc_id,source_block,membership_status,notes
OFFICIAL-001,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-002,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-003,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-004,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-005,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-006,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-007,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-008,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-009,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-010,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-011,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-012,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
OFFICIAL-013,official_replacement,provisional,"Replacement for unrecoverable EITI block; official Marikana Commission filing"
INST-001,institutional,provisional,"Farlam Commission report"
INST-002,institutional,provisional,"Bench Marks Policy Gap 6"
INST-004,institutional,provisional,"Bench Marks Policy Gap 10; retained provisionally but Marikana relevance requires final review"
INST-005,institutional,provisional,"SERI Marikana Commission filing"
INST-003,institutional,provisional,"CER Zero Hour report"
MEDIA-001,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-002,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-003,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-004,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-005,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-006,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-007,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-008,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-009,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-010,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-011,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-012,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-013,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-014,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-015,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-016,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-017,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-018,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-019,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-020,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-021,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-022,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-023,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-024,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-025,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-026,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-027,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-028,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-029,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-030,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-031,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-032,media,provisional,"One of 58 pre-label media recovery candidates"
MEDIA-033,media,provisional,"One of 58 pre-label media recovery candidates"
