publisher,method,endpoint,http_status,response_kind,note
Daily Maverick,sitemap,https://www.dailymaverick.co.za/sitemap_index.xml,200,sitemapindex,locs=74 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/wp-sitemap.xml,404,not_xml,locs=0 ctype=text/html
Daily Maverick,sitemap,https://www.dailymaverick.co.za/sitemap.xml,404,not_xml,locs=0 ctype=text/html
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap1.xml,200,urlset,locs=2536 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap2.xml,200,urlset,locs=2000 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap3.xml,200,urlset,locs=2494 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap4.xml,200,urlset,locs=3800 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap5.xml,200,urlset,locs=3935 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap6.xml,200,urlset,locs=4000 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap7.xml,200,urlset,locs=3972 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap8.xml,200,urlset,locs=3998 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap9.xml,200,urlset,locs=3496 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap10.xml,200,urlset,locs=3408 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap11.xml,200,urlset,locs=3364 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap12.xml,200,urlset,locs=3246 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap13.xml,200,urlset,locs=3512 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap14.xml,200,urlset,locs=3560 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap15.xml,200,urlset,locs=3915 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap16.xml,200,urlset,locs=3713 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap17.xml,200,urlset,locs=3635 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap18.xml,200,urlset,locs=3668 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap19.xml,200,urlset,locs=3645 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap20.xml,200,urlset,locs=3680 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap21.xml,200,urlset,locs=3667 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap22.xml,200,urlset,locs=3650 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap23.xml,200,urlset,locs=3652 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap24.xml,200,urlset,locs=3685 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap25.xml,200,urlset,locs=3676 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap26.xml,200,urlset,locs=3722 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap27.xml,200,urlset,locs=3724 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap28.xml,200,urlset,locs=3725 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap29.xml,200,urlset,locs=3760 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap30.xml,200,urlset,locs=3756 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap31.xml,200,urlset,locs=3766 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap32.xml,200,urlset,locs=3762 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap33.xml,200,urlset,locs=3764 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap34.xml,200,urlset,locs=3767 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap35.xml,200,urlset,locs=3737 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap36.xml,200,urlset,locs=3729 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap37.xml,200,urlset,locs=3780 ctype=application/xml
Daily Maverick,sitemap,https://www.dailymaverick.co.za/article-sitemap38.xml,200,urlset,locs=3782 ctype=application/xml
