candidate_id,source_family,title,year,publisher,url,screening_status,decision_reason,search_id,source_universe
SAT4-MEDIA-001,media,"Lesson from Marikana: The other side of above-inflation pay rises",2019,"Daily Maverick",https://www.dailymaverick.co.za/article/2019-07-10-lesson-from-marikana-the-other-side-of-above-inflation-pay-rises/,eligible_pending_acquisition,"Marikana/Lonmin-specific wage, indebtedness and worker socioeconomic analysis based on Lonmin payroll evidence",SEARCH-DM-SAT-2022-PLUS,strict_documented
SAT4-MEDIA-002,media,"EXCLUSIVE: Amcu’s Marikana PGM miners demand pay hikes of up to 40% from Sibanye",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-05-03-exclusive-amcus-marikana-pgm-miners-demand-pay-hikes-of-up-to-40-from-sibanye/,eligible_pending_acquisition,"Direct Marikana labour-demand record comparing 2022 wage demands with the 2012 R12,500 demand",SEARCH-DM-SAT-2022-PLUS,strict_documented
SAT4-MEDIA-003,media,"Mine workers have seen significant wage growth since Marikana, but social burdens undermine gains",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-07-24-mine-workers-have-seen-significant-wage-growth-since-marikana-but-social-burdens-undermine-gains/,eligible_pending_acquisition,"Contains Marikana-specific 2013-2021 wage data and substantive analysis of wages, debt, labour militancy and post-Marikana outcomes",SEARCH-DM-SAT-2022-PLUS,strict_documented
SAT4-MEDIA-004,media,"Marikana miners: ‘We’ll fight another 10 years to taste justice’",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-08-13-mine-workers-symbolising-sas-tragic-day-well-fight-another-10-years-to-taste-justice/,eligible_pending_acquisition,"Direct injured/arrested worker, state and Ramaphosa accountability record ten years after the massacre",SEARCH-DM-SAT-2022-PLUS,strict_documented
SAT4-MEDIA-005,media,"Marikana and the police: It's been a decade and the SAPS has learnt nothing",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-08-13-marikana-and-the-police-its-been-a-decade-and-theyve-learnt-nothing/,eligible_pending_acquisition,"Direct Farlam/Panel-of-Experts implementation and SAPS accountability assessment",SEARCH-DM-SAT-2022-PLUS,strict_documented
SAT4-MEDIA-006,media,"Ten years on: The possibility of holding Cyril Ramaphosa personally liable for the Marikana tragedy",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-08-15-10-years-on-the-possibility-of-personal-liability-for-ramaphosa-for-marikana/,eligible_pending_acquisition,"Direct legal/governance analysis of Ramaphosa, Lonmin, state and police responsibility",SEARCH-DM-SAT-2022-PLUS,strict_documented
SAT4-MEDIA-007,media,"Marikana massacre: Ten years on, the truth-tellers still carry the weight of what they uncovered",2022,"Daily Maverick",https://www.dailymaverick.co.za/article/2022-08-15-ten-years-on-the-marikana-truth-tellers-still-carry-the-weight-of-what-they-uncovered/,eligible_pending_acquisition,"Direct retrospective on evidence, police narrative, Scene 2 and accountability in the Marikana case",SEARCH-DM-SAT-2022-PLUS,strict_documented
SAT4-MEDIA-008,media,"Marikana bereaved say no healing can occur until someone takes responsibility",2022,"Engineering News",https://www.engineeringnews.co.za/article/marikana-bereaved-say-no-healing-can-occur-until-someone-takes-responsibility-2022-08-18,eligible_pending_acquisition,"Direct bereaved-family, corporate, state, union and Marikana Renewal accountability record; Engineering News selected as canonical Creamer Media edition",SEARCH-EN-SAT-2022-PLUS,strict_documented
SAT4-MEDIA-009,media,"Lonmin working hard to improve living conditions, says CEO Magara",2016,"Engineering News",https://www.engineeringnews.co.za/article/lonmin-working-hard-to-improve-living-conditions-says-ceo-magara-2016-08-16,eligible_pending_acquisition,"Direct Marikana housing, SLP compliance, bereaved-family education and corporate response record",SEARCH-EN-SAT-2016,strict_documented
SAT4-MEDIA-010,media,"South Africa platinum union to restart trust for Marikana miners",2016,"Engineering News / Bloomberg",https://www.engineeringnews.co.za/article/south-africa-platinum-union-to-restart-trust-for-marikana-miners-2016-08-15,eligible_pending_acquisition,"Direct AMCU trust, worker living conditions and Lonmin SLP/housing accountability record",SEARCH-EN-SAT-2016,strict_documented
SAT4-MEDIA-011,media,"AMCU signs three-year wage deal with Lonmin",2016,"Engineering News",https://www.engineeringnews.co.za/article/amcu-signs-three-year-wage-deal-with-lonmin-2016-10-31,eligible_pending_acquisition,"Direct Lonmin-AMCU wage, housing allowance and post-2014 labour-relations agreement",SEARCH-EN-SAT-2016,strict_documented
