candidate_id,source_family,title,year,publisher,url,screening_status,decision_reason,search_id,source_universe
EXP-NGO-008,ngo,"SERI to represent AMCU at the Marikana Commission",2012,"Socio-Economic Rights Institute of South Africa",https://www.seri-sa.org/images/stories/seri_mediastatement_amcu_14sep12.pdf,eligible_pending_acquisition,"Direct SERI Marikana Commission stakeholder-representation statement; canonical PDF resolved from SERI archive",SEARCH-NGO-001,strict_documented
EXP-NGO-009,ngo,"Civil Society Statement Regarding the Killings at Marikana: A Demand for Justice and Truth",2012,"SERI and South African civil-society organisations",https://www.seri-sa.org/images/stories/marikana_civil_society_statement_13_september_2012_.pdf,eligible_pending_acquisition,"Substantive joint civil-society response addressing arrested miners, Commission terms and accountability; canonical PDF from SERI archive",SEARCH-NGO-001,strict_documented
EXP-NGO-010,ngo,"Police Intimidation of Witnesses at Marikana Commission of Inquiry",2012,"Socio-Economic Rights Institute of South Africa",https://abahlali.org/node/9299/,eligible_pending_acquisition,"Full contemporaneous SERI press release documenting alleged intimidation of Marikana Commission witnesses; stable public mirror preserves complete text",SEARCH-NGO-001,strict_documented
EXP-NGO-011,ngo,"Families of Marikana deceased demand payment from SAPS",2013,"Socio-Economic Rights Institute of South Africa",https://www.seri-sa.org/images/stories/Marikana_damages_pressrelease_28Feb13_final.pdf,eligible_pending_acquisition,"Direct family/state accountability and damages statement from SERI archive",SEARCH-NGO-001,strict_documented
EXCLUDE-NGO-012,ngo,"Statement on behalf of the deceased miners' families represented before the Marikana Commission of Inquiry",2013,"Socio-Economic Rights Institute of South Africa",https://www.seri-sa.org/images/stories/press_statement_marikana_15mar13.pdf,exclude_duplicate_seed,"Same substantive SERI statement already represented by seed INST-005 / Commission Exhibit FFF-26; preserve alternate URL but count once",SEARCH-NGO-001,strict_documented
EXP-NGO-013,ngo,"Families of slain Marikana miners want the truth about massacre to be revealed",2020,"Socio-Economic Rights Institute of South Africa",https://www.seri-sa.org/images/SERI_Statement-Marikana_families_want_the_truth_revealed.pdf,eligible_pending_acquisition,"Substantive criminal-accountability update centred on Marikana prosecutions and Commission evidence",SEARCH-NGO-001,strict_documented
EXP-NGO-014,ngo,"Eight years since Marikana, the brutality and lack of accountability continues",2020,"Socio-Economic Rights Institute of South Africa",https://www.seri-sa.org/index.php/more-news/1047-press-statement-eight-years-since-marikana-the-brutality-and-lack-of-accountability-continues-13-august-2020,eligible_pending_acquisition,"Marikana-specific anniversary/accountability statement with substantive prosecution and reparations analysis",SEARCH-NGO-001,strict_documented
EXP-NGO-015,ngo,"SERI commemorates the 9th anniversary of the Marikana massacre",2021,"Socio-Economic Rights Institute of South Africa",https://www.seri-sa.org/index.php/more-news/1185-advocacy-seri-commemorates-the-9th-anniversary-of-the-marikana-massacre-15-september-2021,eligible_pending_acquisition,"Substantive advocacy communication summarising justice/accountability, reparations and Panel of Experts implementation in the Marikana case",SEARCH-NGO-001,strict_documented
EXP-NGO-016,ngo,"Ten years since the Marikana massacre",2022,"Socio-Economic Rights Institute of South Africa",https://seri-sa.org/images/SERI_Press_statement__10_years_since_Marikana_FINAL.pdf,eligible_pending_acquisition,"Marikana-specific ten-year retrospective from the organisation representing affected families",SEARCH-NGO-001,strict_documented
EXP-NGO-017,ngo,"11 years later: The victims of the Marikana Massacre still await justice",2023,"Socio-Economic Rights Institute of South Africa",https://www.seri-sa.org/images/Final_SERI_Press_statement__Marikana_11th_anniversary.pdf,eligible_pending_acquisition,"Marikana-specific retrospective covering strike origins, Lonmin engagement, policing, justice and reparations",SEARCH-NGO-001,strict_documented
EXP-NGO-018,ngo,"Marikana: Response to Solicitor General's Media Briefing",2023,"Socio-Economic Rights Institute of South Africa",https://www.seri-sa.org/images/FINAL_SERI_Press_statement__Marikana_claims_2023_20230818.pdf,eligible_pending_acquisition,"Substantive response concerning civil claims, state reparations and affected families; canonical SERI PDF",SEARCH-NGO-001,strict_documented
EXP-NGO-019,ngo,"South Africa: Marikana mine killings inquiry must be robust and visibly impartial",2012,"Amnesty International",https://www.amnesty.org.uk/knowledge-hub/all-resources/south-africa-marikana-mine-killings-inquiry-must-be-robust-and-visibly-impartial/,eligible_pending_acquisition,"Marikana-specific human-rights advocacy on Commission powers, witness protection, justice and redress",SEARCH-NGO-001,expanded_source_universe
EXP-NGO-020,ngo,"South Africa: Unlawful force and the pattern of concealment: Barriers to accountability for the killings at Marikana",2014,"Amnesty International",https://www.amnesty.org/en/wp-content/uploads/2023/05/AFR530042014ENGLISH.pdf,eligible_pending_acquisition,"Dedicated Marikana research briefing on lethal force, police decision-making, concealment and accountability",SEARCH-NGO-001,expanded_source_universe
EXP-NGO-021,ngo,"South Africa: President Zuma must urgently make Marikana findings public",2015,"Amnesty International",https://www.amnesty.org/en/latest/news/2015/03/south-africa-president-zuma-marikana-findings/,eligible_pending_acquisition,"Substantive pre-release accountability statement synthesising Commission evidence and implementation expectations",SEARCH-NGO-001,expanded_source_universe
EXP-NGO-022,ngo,"South Africa: Marikana Commission Report only partly addresses accountability leaving families with a long struggle for closure",2015,"Amnesty International",https://www.amnesty.org/en/documents/afr53/2111/2015/en/,eligible_pending_acquisition,"Dedicated post-report assessment of Farlam findings, police responsibility and accountability",SEARCH-NGO-001,expanded_source_universe
EXP-NGO-023,ngo,"South Africa: Suspend those behind the Marikana killings and subsequent cover-up",2015,"Amnesty International",https://www.amnesty.org/en/latest/news/2015/08/south-africa-suspend-those-behind-the-marikana-killings-and-subsequent-cover-up/,eligible_pending_acquisition,"Substantive implementation/accountability statement focused entirely on Marikana and Farlam recommendations",SEARCH-NGO-001,expanded_source_universe
