candidate_id,source_family,title,year,publisher,url,screening_status,decision_reason,search_id
EXP-OFFICIAL-001,official,"Submission by Robert David Bruce",2014,"Marikana Commission / Robert David Bruce",https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DaveBruce.pdf,eligible_pending_acquisition,"Official substantive expert submission on structural/systemic policing issues highlighted by Marikana; omitted from 13-record seed Heads set",SEARCH-JUSTICE-001
EXP-OFFICIAL-002,official,"Mabelane Fundi Heads of Argument",2014,"Marikana Commission / representatives of Mabelane and Fundi",https://justice.gov.za/comm-mrk/docs/201411-HoA-MabelaneFundi.pdf,eligible_pending_acquisition,"Official Heads of Argument addressing Lonmin duties and the deaths of Mabelane/Fundi; omitted from 13-record seed Heads set",SEARCH-JUSTICE-001
EXP-OFFICIAL-003,official,"How can the South African Police Service prevent another Marikana?",2014,"Gareth Newham / Marikana Commission Phase 2",https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Newham.pdf,eligible_pending_acquisition,"Commission-hosted expert paper prepared specifically for Phase 2 examination of underlying causes and prevention",SEARCH-JUSTICE-001
EXP-OFFICIAL-004,official,"Explaining violence in strikes",2014,"Crispen Chinguno / Marikana Commission Phase 2",https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Chinguno.pdf,eligible_pending_acquisition,"Commission-hosted expert presentation on strike violence prepared for the Marikana Phase 2 seminar",SEARCH-JUSTICE-001
EXP-OFFICIAL-005,official,"Strike Violence: An Alternative Avenue",2014,"Edward Webster / Marikana Commission Phase 2",https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Webster.pdf,eligible_pending_acquisition,"Commission-hosted expert presentation on industrial-relations violence in the Marikana Phase 2 inquiry",SEARCH-JUSTICE-001
EXP-OFFICIAL-006,official,"Understanding the causes and re-thinking the future post the strike wave",2014,"Gavin Hartford / Marikana Commission Phase 2",https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Hartford.pdf,eligible_pending_acquisition,"Commission-hosted expert paper on underlying causes of the strike wave and future labour relations",SEARCH-JUSTICE-001
EXP-OFFICIAL-007,official,"Mining & Migrancy",2014,"Francis Wilson / Marikana Commission Phase 2",https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Wison.pdf,eligible_pending_acquisition,"Commission-hosted expert presentation on migrant labour as an underlying Marikana factor",SEARCH-JUSTICE-001
EXP-OFFICIAL-008,official,"Resolving labour tensions in African mining – The effective regulation of industrial democracy",2014,"John Brand / Marikana Commission Phase 2",https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-SAIIA-Roundtable.pdf,eligible_pending_acquisition,"Commission-hosted expert paper on labour tensions and collective bargaining relevant to Marikana Phase 2",SEARCH-JUSTICE-001
EXP-OFFICIAL-009,official,"Post-apartheid Trade union role and weaknesses",2014,"Sakhela Buhlungu / Marikana Commission Phase 2",https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-UCT.pdf,eligible_pending_acquisition,"Commission-hosted expert presentation on union representation and worker bypass central to Marikana Phase 2",SEARCH-JUSTICE-001
EXP-OFFICIAL-010,official,"Workers Bypassing Unions: How to Respond?",2014,"Ian Macun / Department of Labour / Marikana Commission Phase 2",https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-platinum.pdf,eligible_pending_acquisition,"Official documents index links this standalone Phase 2 presentation; direct canonical PDF URL resolved before annotation",SEARCH-JUSTICE-001
EXCLUDE-OFFICIAL-011,official,"Seminar Phase 2 transcript – Bargaining Arrangements in Platinum",2014,"Marikana Commission",https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-transcript.pdf,exclude_compilation_duplicate,"Transcript compiles seminar presentations/discussion; individual expert papers are preferred canonical units where available",SEARCH-JUSTICE-001
EXCLUDE-OFFICIAL-012,official,"Seminar Phase 2 transcript – Mining and Migrancy",2014,"Marikana Commission",https://www.justice.gov.za/comm-mrk/documents.html,exclude_compilation_duplicate,"Transcript is a compilation of presentations/discussion; individual expert papers are canonical where available",SEARCH-JUSTICE-001
EXCLUDE-OFFICIAL-013,official,"Seminar Phase 2 transcript – Violence in Industrial Relations",2014,"Marikana Commission",https://www.justice.gov.za/comm-mrk/docs/20140416-SeminarPhase02-transcript.pdf,exclude_compilation_duplicate,"Transcript compiles the Newham/Chinguno/Webster seminar and discussion; individual expert papers are canonical",SEARCH-JUSTICE-001
