candidate_id,title,year,publisher,url,final_url,original_text_sha256,targeted_fetch_status,targeted_fetch_error,publication_date_from_url,retrieved_text_words,retrieved_text_sha256,retrieved_lonmin_mentions,case_terms,case_mentions_total,event_terms,event_mentions_total,event_distinct_terms,social_terms,social_mentions_total,social_distinct_terms,corporate_terms,corporate_mentions_total,corporate_distinct_terms,early_aug_oct_2012_window,title_has_routine_corporate_signal,evidence_class,evidence_note,final_decision,final_reason_code,final_evidence_note
DISC-MEDIA-0001,Lonmins Killing Fields,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-14-lonmins-killing-fields/,https://www.dailymaverick.co.za/article/2012-08-14-lonmins-killing-fields/,9254404f7b89655f987b7c3b57629c411ea0bf8d5f77463cd1d480f252c34e5f,retrieved_extracted,,2012-08-14,1239,9254404f7b89655f987b7c3b57629c411ea0bf8d5f77463cd1d480f252c34e5f,11,,0,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,89,7,housing,1,1,share_price;exploration_project,2,2,true,false,strong_early_2012_event_context,Contemporaneous Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals.,,,
DISC-MEDIA-0261,Lonmin Investors Back Sibanye Deal To Create Platinum Giant,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-05-28-lonmin-investors-back-sibanye-deal-to-create-platinum-giant/,https://www.dailymaverick.co.za/article/2019-05-28-lonmin-investors-back-sibanye-deal-to-create-platinum-giant/,2971841d626cc57a4d014ddecc9f2ccff582e4fe6d1aeda0263b092be9cc5abc,retrieved_extracted,,2019-05-28,294,2971841d626cc57a4d014ddecc9f2ccff582e4fe6d1aeda0263b092be9cc5abc,10,,0,union,1,1,,0,0,share_price;earnings_results;funding_debt;transaction;commodity_market,9,5,false,false,likely_routine_corporate_signal,Multiple corporate/financial signals with weak case-event/community evidence.,,,
DISC-MEDIA-0362,46 Year Old Man Dies In Accident At Lonmin Mine,2018,Engineering News,https://www.engineeringnews.co.za/article/46-year-old-man-dies-in-accident-at-lonmin-mine-2018-10-02,https://www.engineeringnews.co.za/article/46-year-old-man-dies-in-accident-at-lonmin-mine-2018-10-02,a66526c1e8fa9bca1faeeb8fb46146d565b5ccbaee6fc7083922236e06a75566,retrieved_extracted,,2018-10-02,413,a66526c1e8fa9bca1faeeb8fb46146d565b5ccbaee6fc7083922236e06a75566,4,,0,worker_miner,1,1,,0,0,earnings_results;exploration_project,3,2,false,false,ambiguous_low_signal,Signals are insufficient for a defensible decision.,,,
DISC-MEDIA-0366,Amcu Lonmin Find Strike Averting Meeting Point Deputy President,2013,Engineering News,https://www.engineeringnews.co.za/article/amcu-lonmin-find-strike-averting-meeting-point-deputy-president-2013-06-21,https://www.engineeringnews.co.za/article/amcu-lonmin-find-strike-averting-meeting-point-deputy-president-2013-06-21,25a355b8a61344e281e8d3b5221bbc4f595f13807addceff30997eb6ed86e979,retrieved_extracted,,2013-06-21,1132,25a355b8a61344e281e8d3b5221bbc4f595f13807addceff30997eb6ed86e979,7,,0,strike;worker_miner;wage;union;protest_unrest,47,5,,0,0,earnings_results,2,1,false,false,possible_substantive_case_context,Multiple labour/event or social/governance signals require direct substantive review.,,,
DISC-MEDIA-0367,Amcu Lonmin Talks Reach Deadlock Formal Arbitration To Start,2013,Engineering News,https://www.engineeringnews.co.za/article/amcu-lonmin-talks-reach-deadlock-formal-arbitration-to-start-2013-05-23,https://www.engineeringnews.co.za/article/amcu-lonmin-talks-reach-deadlock-formal-arbitration-to-start-2013-05-23,2cfd9f9de83584d3bcaacc0dc3f30c4291e8538c7c334e371787497e0491c107,retrieved_extracted,,2013-05-23,538,2cfd9f9de83584d3bcaacc0dc3f30c4291e8538c7c334e371787497e0491c107,4,,0,worker_miner;union,11,2,commission_inquiry,1,1,earnings_results,2,1,false,false,ambiguous_low_signal,Signals are insufficient for a defensible decision.,,,
DISC-MEDIA-0368,Amcu Moves To Overturn Sibanyes Lonmin Deal,2018,Engineering News,https://www.engineeringnews.co.za/article/amcu-moves-to-overturn-sibanyes-lonmin-deal-2018-12-20,https://www.engineeringnews.co.za/article/amcu-moves-to-overturn-sibanyes-lonmin-deal-2018-12-20,7cc11257f3a14830bc1b8fd0512852051ed06cbfbe118b18ca479a16acbeac1d,retrieved_extracted,,2018-12-20,447,7cc11257f3a14830bc1b8fd0512852051ed06cbfbe118b18ca479a16acbeac1d,6,,0,worker_miner;union,9,2,,0,0,share_price;earnings_results;transaction,6,3,false,false,ambiguous_low_signal,Signals are insufficient for a defensible decision.,,,
DISC-MEDIA-0369,Amcu Slams Lonmin Sibanye Merger Over Magnitude Of Job Losses At Appeal Court,2019,Engineering News,https://www.engineeringnews.co.za/article/amcu-slams-lonmin-sibanye-merger-over-magnitude-of-job-losses-at-appeal-court-2019-04-08,https://www.engineeringnews.co.za/article/amcu-slams-lonmin-sibanye-merger-over-magnitude-of-job-losses-at-appeal-court-2019-04-08,054193fc12556c9b57f1ef04f34321828f76523b287ddcf5e9b1f98418bcdd62,retrieved_extracted,,2019-04-08,900,054193fc12556c9b57f1ef04f34321828f76523b287ddcf5e9b1f98418bcdd62,8,,0,worker_miner;union,12,2,community;commission_inquiry,4,2,earnings_results;transaction;commodity_market,22,3,false,true,possible_substantive_case_context,Multiple labour/event or social/governance signals require direct substantive review.,,,
DISC-MEDIA-0370,Amcu Stands Firm On R12 500 Demand Lonmin Calls On Union To Reconsider 9,2014,Engineering News,https://www.engineeringnews.co.za/article/amcu-stands-firm-on-r12-500-demand-lonmin-calls-on-union-to-reconsider-9-2014-04-03,https://www.engineeringnews.co.za/article/amcu-stands-firm-on-r12-500-demand-lonmin-calls-on-union-to-reconsider-9-2014-04-03,040191d4838fb1777e4c09bf3b6553008fa940f303d62c3ea45a45d3654639b0,retrieved_extracted,,2014-04-03,812,040191d4838fb1777e4c09bf3b6553008fa940f303d62c3ea45a45d3654639b0,7,,0,strike;worker_miner;wage;union,32,4,community;commission_inquiry,3,2,earnings_results;exploration_project,7,2,false,false,possible_substantive_case_context,Multiple labour/event or social/governance signals require direct substantive review.,,,
DISC-MEDIA-0371,Amcu Threatens To Strike At Lonmin Operations,2013,Engineering News,https://www.engineeringnews.co.za/article/amcu-threatens-to-strike-at-lonmin-operations-2013-06-06,https://www.engineeringnews.co.za/article/amcu-threatens-to-strike-at-lonmin-operations-2013-06-06,1f53422de2bba37da8d1e9bb59183e6f09c208f328f4f5ac6e95e441ea3e5af1,retrieved_extracted,,2013-06-06,604,1f53422de2bba37da8d1e9bb59183e6f09c208f328f4f5ac6e95e441ea3e5af1,7,,0,strike;worker_miner;union,22,3,commission_inquiry,1,1,earnings_results,2,1,false,false,possible_substantive_case_context,Multiple labour/event or social/governance signals require direct substantive review.,,,
DISC-MEDIA-0373,Amcu To Serve Strike Notice On Lonmin Implats,2014,Engineering News,https://www.engineeringnews.co.za/article/amcu-to-serve-strike-notice-on-lonmin-implats-2014-01-17,https://www.engineeringnews.co.za/article/amcu-to-serve-strike-notice-on-lonmin-implats-2014-01-17,7fab7385435a0c56a76e860aba6cc0d4e50e1b849df7fd7daaa262667a095d9b,retrieved_extracted,,2014-01-17,516,7fab7385435a0c56a76e860aba6cc0d4e50e1b849df7fd7daaa262667a095d9b,5,,0,strike;worker_miner;wage;union,22,4,commission_inquiry,1,1,earnings_results,2,1,false,false,possible_substantive_case_context,Multiple labour/event or social/governance signals require direct substantive review.,,,
