candidate_id,title,year,publication_date_from_url,publisher,url,prescreen_bucket,targeted_fetch_status,retrieved_text_words,retrieved_text_sha256,case_terms,case_mentions_total,event_terms,event_distinct_terms,social_terms,social_distinct_terms,corporate_terms,corporate_distinct_terms,title_has_case_process_signal,title_has_routine_corporate_signal,evidence_class,evidence_note,review_decision,review_reason_code,review_note
DISC-MEDIA-0649,Sibanye Stillwater Restructures Historical Lonmin Bee Structure,2021,2021-04-14,Engineering News,https://www.engineeringnews.co.za/article/sibanye-stillwater-restructures-historical-lonmin-bee-structure-2021-04-14,lonmin_only_title_review,retrieved_extracted,602,ef4a2bd6c96b68cd68ebd992cdedd3d9b0d9fe17595c6ceed5cbba835e0f9887,marikana,13,,0,,0,share_price;earnings_results;funding_debt;transaction;dividend_rights,5,false,false,case_term_low_context_review,Case/place term occurs but context is too weak to distinguish substantive case treatment from place/project/incidental use.,,,
DISC-MEDIA-0549,Magara Takes The Reins At Lonmin Furnace Restarted,2013,2013-07-01,Engineering News,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-01,lonmin_only_title_review,retrieved_extracted,592,17b4a6ea9bedaca24a1545e92d0d0cf825585652607c490f4ad7823341ff8970,,0,worker_miner;police;shooting_death;wage;union;protest_unrest,6,,0,earnings_results;exploration_project,2,false,true,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0550,Magara Takes The Reins At Lonmin Furnace Restarted,2013,2013-07-12,Engineering News,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-12,lonmin_only_title_review,retrieved_extracted,589,97bb08dfd619fd92322a2f415ac81806e2ab69495f8935082aeb2d518bef1f34,,0,worker_miner;police;shooting_death;wage;union;protest_unrest,6,,0,earnings_results;exploration_project,2,false,true,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0383,Britains Competition Watchdog To Look Into Sibanye Lonmin Deal,2018,2018-05-15,Engineering News,https://www.engineeringnews.co.za/article/britains-competition-watchdog-to-look-into-sibanye-lonmin-deal-2018-05-15,lonmin_only_title_review,retrieved_extracted,770,1c005a672cfe3b74193d4a09f700981372df164ce5f57c576c1ecb61950c0e64,,0,worker_miner;wage;union,3,commission_inquiry,1,share_price;earnings_results;production_output;funding_debt;transaction,5,false,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0634,Sibanye Ceo Confident Of Lonmin Takeover Despite Cash Burn,2018,2018-05-18,Engineering News,https://www.engineeringnews.co.za/article/sibanye-ceo-confident-of-lonmin-takeover-despite-cash-burn-2018-05-18,lonmin_only_title_review,retrieved_extracted,756,9320bcdc87dec25ed993551d219b14a8ec230c1c344c2ee729b2dd57777f42c5,,0,strike;worker_miner;wage,3,commission_inquiry,1,share_price;earnings_results;production_output;funding_debt;transaction;exploration_project,6,false,true,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0476,Lonmin Plans To Cut 4 100 Workers As It Closes Platinum Mines,2019,2019-05-21,Engineering News,https://www.engineeringnews.co.za/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-21,lonmin_only_title_review,retrieved_extracted,425,b20bca1c5499de3c81299641ae0c11e11562ea958b64cb65efecc947291eebc2,,0,worker_miner,1,,0,earnings_results;funding_debt;transaction,3,true,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0477,Lonmin Plans To Cut 4 100 Workers As It Closes Platinum Mines,2019,2019-05-31,Engineering News,https://www.engineeringnews.co.za/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-31,lonmin_only_title_review,retrieved_extracted,264,fb225216f881f4b73cd58febf7830f5f3b4fa74e39be79d9290157eab194a9b1,,0,,0,,0,earnings_results,1,true,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0392,Consolidation Needed To Save Jobs Lonmin,2018,2018-05-25,Engineering News,https://www.engineeringnews.co.za/article/consolidation-needed-to-save-jobs-lonmin-2018-05-25,lonmin_only_title_review,retrieved_extracted,1149,6ec8b457873c1da1a64e1e146c3744f0e9b759140d1eadddffec8c66f6bf6a99,,0,,0,,0,earnings_results;production_output;funding_debt;exploration_project,4,false,false,likely_routine_corporate_signal,Multiple corporate/financial signals with weak case-event/community evidence.,,,
DISC-MEDIA-0611,Ramaphosa To Step Down From Lonmin Mondi Boards,2013,2013-01-23,Engineering News,https://www.engineeringnews.co.za/article/ramaphosa-to-step-down-from-lonmin-mondi-boards-2013-01-23,lonmin_only_title_review,retrieved_extracted,658,7f600af792947488913192b249994f88b7913203077f58a45a0e7fff9382d923,,0,worker_miner,1,,0,earnings_results,1,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0151,Elections In Marikana The Mining Belt Makes Its Mark In Pictures,2014,2014-05-07,Daily Maverick,https://www.dailymaverick.co.za/article/2014-05-07-elections-in-marikana-the-mining-belt-makes-its-mark-in-pictures/,explicit_case_title_review,retrieved_extracted,122,24f0b9f71b0c108635d91bb84ad46eeb9e4a88d43dcd8425c9c65533191587a2,,0,,0,,0,,0,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0447,Lonmin Denies Allegations Of Tax Evasion,2014,2014-09-23,Engineering News,https://www.engineeringnews.co.za/article/lonmin-denies-allegations-of-tax-evasion-2014-09-23,lonmin_only_title_review,retrieved_extracted,666,ce75783b3d98db6feae876ac1175320d5b4b34adf26a63e7634fc9502f99136c,,0,worker_miner;wage,2,commission_inquiry,1,earnings_results;funding_debt;transaction,3,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0449,Lonmin Discussing Cost Reductions For Sake Of Company Employees,2015,2015-05-07,Engineering News,https://www.engineeringnews.co.za/article/lonmin-discussing-cost-reductions-for-sake-of-company-employees-2015-05-07,lonmin_only_title_review,retrieved_extracted,575,06b8393f687ac7e9fddd849649b4821c3c223cc0900e7e4dcb085fe4e22572b9,,0,worker_miner;union,2,,0,earnings_results,1,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0502,Lonmin Shanduka Black Umbrellas Partnership Contributes Positively To Small Business Development,2015,2015-10-09,Engineering News,https://www.engineeringnews.co.za/article/lonmin-shanduka-black-umbrellas-partnership-contributes-positively-to-small-business-development-2015-10-09,lonmin_only_title_review,retrieved_extracted,803,a3bf96bb8fece34ee55fa07b9408092d8d2c7e3623d56999ab4ca4a2ed241314,,0,,0,community,1,earnings_results;funding_debt;exploration_project;commodity_market,4,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0384,Cohesive Solutions Needed To Overcome Turbulent Period Lonmin,2016,2016-02-18,Engineering News,https://www.engineeringnews.co.za/article/cohesive-solutions-needed-to-overcome-turbulent-period-lonmin-2016-02-18,lonmin_only_title_review,retrieved_extracted,548,f5ccfaa2689036a691a4a93aac7e20bd7ea93f28308ec35883b43aebfc1f0a1a,,0,worker_miner;wage,2,,0,earnings_results;production_output;commodity_market,3,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0650,Sibanye Stillwater To Acquire Embattled Lonmin In All Share Offer,2017,2017-12-14,Engineering News,https://www.engineeringnews.co.za/article/sibanye-stillwater-to-acquire-embattled-lonmin-in-all-share-offer-2017-12-14,lonmin_only_title_review,retrieved_extracted,1607,b9892834f1cbe860c528349fc2ba8afeb493eabf13b4937863f076cd452c1196,,0,,0,commission_inquiry,1,share_price;earnings_results;funding_debt;transaction;exploration_project;commodity_market,6,false,true,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0651,Sibanye Stillwater To Lonmins Rescue,2017,2017-12-19,Engineering News,https://www.engineeringnews.co.za/article/sibanye-stillwater-to-lonmins-rescue-2017-12-19,lonmin_only_title_review,retrieved_extracted,505,d0a5c7efd645add45569ad8a085a88a79b79e6ce051f7a07442b6438b5a339cb,,0,union,1,,0,earnings_results;transaction,2,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0523,Lonmin Transaction Filed With South Africas Competition Authority,2018,2018-03-16,Engineering News,https://www.engineeringnews.co.za/article/lonmin-transaction-filed-with-south-africas-competition-authority-2018-03-16,lonmin_only_title_review,retrieved_extracted,472,8d94dbf4d9071193e2c19b6f349539871024a044503feb186189ea55e748ba42,,0,worker_miner;union,2,community,1,earnings_results;transaction;commodity_market,3,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0601,Pic Faces Dilemma Over Backing Lonmin Deal,2019,2019-05-23,Engineering News,https://www.engineeringnews.co.za/article/pic-faces-dilemma-over-backing-lonmin-deal-2019-05-23,lonmin_only_title_review,retrieved_extracted,770,f5b0a76cbbfb752d76a44a192c01bb8b3f03ecb2a46960538ffa4a03b0560568,,0,strike;worker_miner,2,commission_inquiry,1,share_price;earnings_results;transaction;commodity_market,4,false,false,ambiguous_low_signal,Signals are insufficient for a defensible inclusion/exclusion decision.,,,
DISC-MEDIA-0574,Marikana Students To Qualify With Matric Certificate And Technical Diploma,2013,2013-04-05,Engineering News,https://www.engineeringnews.co.za/article/marikana-students-to-qualify-with-matric-certificate-and-technical-diploma-2013-04-05,explicit_case_title_review,retrieved_extracted,1017,97aea404fa85727044186ff46c9434c2a4425d64511f338a434ef89d3311b740,marikana,5,worker_miner,1,community,1,earnings_results;funding_debt;exploration_project,3,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0198,Podcast Marikana The Fallout,2015,2015-07-01,Daily Maverick,https://www.dailymaverick.co.za/article/2015-07-01-podcast-marikana-the-fallout/,explicit_case_title_review,retrieved_extracted,99,e7b7ba3aade255bb6e857d0e4cac27d1985d3b96868ed8b1ef8f05285088b9c1,marikana,2,strike;worker_miner;shooting_death,3,,0,,0,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0444,Lonmin Cuts Spending Plan On Feeble Platinum Price Outlook,2015,2015-05-14,Engineering News,https://www.engineeringnews.co.za/article/lonmin-cuts-spending-plan-on-feeble-platinum-price-outlook-2015-05-14,lonmin_only_title_review,retrieved_extracted,638,a4c4ce948c0f53036d78e0a2aab4d55953eb0b483bebad26341a2a8971cb400a,marikana,1,strike;wage,2,,0,share_price;earnings_results;production_output;commodity_market,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0445,Lonmin Cuts Workforce Shrinks Capex Lowers Unit Costs,2015,2015-11-13,Engineering News,https://www.engineeringnews.co.za/article/lonmin-cuts-workforce-shrinks-capex-lowers-unit-costs-2015-11-13,lonmin_only_title_review,retrieved_extracted,866,73a291d895a1f1e5bdbb7a3ce83dca82f13cc996a82ff039755d4be66de41609,marikana,1,strike;worker_miner,2,,0,share_price;earnings_results;production_output;exploration_project,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0452,Lonmin Employee Cut Half Done Capex Shrunk Unit Costs Lower,2015,2015-11-02,Engineering News,https://www.engineeringnews.co.za/article/lonmin-employee-cut-half-done-capex-shrunk-unit-costs-lower-2015-11-02,lonmin_only_title_review,retrieved_extracted,867,4225332473f547a71fc47a6eb4a1751f0e4a2aa5f7d7c14c018360784d4133fc,marikana,1,strike;worker_miner,2,,0,share_price;earnings_results;production_output;exploration_project,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0517,Lonmin To Maintain Fy Sales Guidance Cut Capex While Job Cuts Loom,2015,2015-05-11,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-maintain-fy-sales-guidance-cut-capex-while-job-cuts-loom-2015-05-11,lonmin_only_title_review,retrieved_extracted,1020,b1491953d8da3e64239921bc10bafc8d72e0caa2628466d6fbb7f0350d929a37,marikana,1,worker_miner;union,2,,0,earnings_results;production_output;funding_debt;exploration_project,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0545,Low Platinum Price Places 50 Of All Platinum Producers In The Red Lonmin,2015,2015-11-27,Engineering News,https://www.engineeringnews.co.za/article/low-platinum-price-places-50-of-all-platinum-producers-in-the-red-lonmin-2015-11-27,lonmin_only_title_review,retrieved_extracted,804,386d7efd31b2026d64da9d50cef07b0398377572ef2824750964d06a1ef24192,marikana,2,worker_miner;union,2,,0,earnings_results;production_output;exploration_project;commodity_market,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
