candidate_id,title,year,publication_date_from_url,publisher,url,retrieved_text_words,retrieved_text_sha256,evidence_class,event_terms,social_terms,corporate_terms,decision_status,final_decision,reason_code,decision_note,decision_provenance
DISC-MEDIA-0001,Lonmins Killing Fields,2012,2012-08-14,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-14-lonmins-killing-fields/,1239,9254404f7b89655f987b7c3b57629c411ea0bf8d5f77463cd1d480f252c34e5f,strong_early_2012_event_context,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,housing,share_price;exploration_project,final_batch_01,include,include_case_central,Included under the locked rubric: contemporaneous August-October 2012 Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals. Literal 'Marikana' is not required for this early-event coverage.,review_batch_01_locked_rubric_2026-08-23
DISC-MEDIA-0002,Lonmin Mining Crisis Precarious Balance No Solution In Sight,2012,2012-08-15,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-15-lonmin-mining-crisis-precarious-balance-no-solution-in-sight/,960,fd6770776d9a301c37233ce5c2c349bd7c7d375334fa4780848a7e5b010fa719,strong_early_2012_event_context,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,,share_price;earnings_results;production_output,final_batch_03,include,include_case_central,"Included by conservative whole-queue review: contemporaneous August-October 2012 Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals, so literal 'Marikana' is not required.",review_batch_03_conservative_whole_queue_2026-08-23
DISC-MEDIA-0003,Beyond The Chaos At Marikana The Search For The Real Issues,2012,2012-08-17,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-17-beyond-the-chaos-at-marikana-the-search-for-the-real-issues/,1623,9606e472faff2db47547a29decba97cd945d05887c7922965fc736f52626da3d,strong_early_2012_event_context,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,,share_price;production_output;commodity_market,final_batch_03,include,include_case_central,"Included by conservative whole-queue review: contemporaneous August-October 2012 Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals, so literal 'Marikana' is not required.",review_batch_03_conservative_whole_queue_2026-08-23
DISC-MEDIA-0004,Reporters Notebook Wonderkop Marikana Friday 17Th,2012,2012-08-17,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-17-reporters-notebook-wonderkop-marikana-friday-17th/,914,54c0a23e29d4264abdabcd5ac8f525423ba45570f3cdadf78de8b47aff850d06,strong_early_2012_event_context,strike;worker_miner;police;shooting_death;wage;union,,,final_batch_03,include,include_case_central,"Included by conservative whole-queue review: contemporaneous August-October 2012 Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals, so literal 'Marikana' is not required.",review_batch_03_conservative_whole_queue_2026-08-23
DISC-MEDIA-0005,Lonmin The Unacceptable Face Of Capitalism,2012,2012-08-20,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-20-lonmin-the-unacceptable-face-of-capitalism/,1180,31d82a7e6d3fc16ec83af98c5cc3fdfd62023e2d0ac3d14a18fa48c2b9c9d2b7,strong_early_2012_event_context,strike;worker_miner;police;shooting_death;wage;union,commission_inquiry,share_price;production_output;transaction;exploration_project,final_batch_03,include,include_case_central,"Included by conservative whole-queue review: contemporaneous August-October 2012 Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals, so literal 'Marikana' is not required.",review_batch_03_conservative_whole_queue_2026-08-23
DISC-MEDIA-0006,Marikana Massacre Global Medias Focus On Tripartite Failures And The Growing Class Divide,2012,2012-08-20,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-20-marikana-massacre-global-medias-focus-on-tripartite-failures-and-the-growing-class-divide/,974,651ece5c16401e6186e6a251fc7957be39dfc4389ff4a59fd403e05228513d6a,strong_early_2012_event_context,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,justice_accountability,share_price;exploration_project,final_batch_03,include,include_case_central,"Included by conservative whole-queue review: contemporaneous August-October 2012 Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals, so literal 'Marikana' is not required.",review_batch_03_conservative_whole_queue_2026-08-23
DISC-MEDIA-0007,Outrage At Marikana Massacre Grows Around The World,2012,2012-08-20,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-20-outrage-at-marikana-massacre-grows-around-the-world/,971,8b8405a4d57b83102cbadf632384c2cff33f26569202853bd096b2bf37c07e54,strong_early_2012_event_context,strike;worker_miner;police;shooting_death;union;protest_unrest,housing;justice_accountability;commission_inquiry,earnings_results,final_batch_03,include,include_case_central,"Included by conservative whole-queue review: contemporaneous August-October 2012 Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals, so literal 'Marikana' is not required.",review_batch_03_conservative_whole_queue_2026-08-23
DISC-MEDIA-0008,Analysis A Tough Future For Both Lonmin And Its Metal,2012,2012-08-21,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-21-analysis-a-tough-future-for-both-lonmin-and-its-metal/,1604,4e17d1334c46e89e432ae6f968932182d6a292b59bc31fa0ec45f46e1f9c32af,strong_early_2012_event_context,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,community,share_price;production_output;funding_debt;exploration_project;commodity_market,final_batch_03,include,include_case_central,"Included by conservative whole-queue review: contemporaneous August-October 2012 Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals, so literal 'Marikana' is not required.",review_batch_03_conservative_whole_queue_2026-08-23
DISC-MEDIA-0009,Marikana Where Is The Anc,2012,2012-08-21,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-21-marikana-where-is-the-anc/,1424,16747d6b32df9387f8b74c85cd9af45e5ee230f955656356d3caa2979ab958ad,strong_early_2012_event_context,strike;worker_miner;police;shooting_death;union;protest_unrest,housing;community,share_price;transaction,final_batch_03,include,include_case_central,"Included by conservative whole-queue review: contemporaneous August-October 2012 Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals, so literal 'Marikana' is not required.",review_batch_03_conservative_whole_queue_2026-08-23
DISC-MEDIA-0010,A World Away From Its Reality Marikana Dissected Used Abused,2012,2012-08-22,Daily Maverick,https://www.dailymaverick.co.za/article/2012-08-22-a-world-away-from-its-reality-marikana-dissected-used-abused/,1515,10b8eba07b240e7cb7180992965b1e8805bab63d5fbabf17b8bbdc553503b014,strong_early_2012_event_context,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,housing;community;justice_accountability;commission_inquiry,,final_batch_03,include,include_case_central,"Included by conservative whole-queue review: contemporaneous August-October 2012 Lonmin coverage has multiple independent strike/worker/police/death/wage/union signals, so literal 'Marikana' is not required.",review_batch_03_conservative_whole_queue_2026-08-23
