similarity,candidate_id_a,candidate_id_b,title_a,title_b,year_a,year_b,publisher_a,publisher_b,url_a,url_b,decision
0.999290,EXP-MEDIA-067,WEB-MEDIA-004,Sibanye continues to make reparations at Marikana,Sibanye continues to make reparations at Marikana,2022,2022,Mining Weekly,Mining Weekly,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,manual_review_near_duplicate
0.999141,DISC-MEDIA-0459,SAT-EARLY-MEDIA-001,Lonmin Inks Landmark Bee Deals With Traditional Community,Lonmin inks landmark BEE deals with traditional community,2014,2014,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,https://www.miningweekly.com/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,manual_review_near_duplicate
0.998947,SAT5-MEDIA-003,WEB-MEDIA-005,Rights organisations are seeking accountability for failed Marikana housing,Human rights orgs are seeking accountability for failed Marikana housing,2022,2022,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/human-rights-orgs-are-seeking-accountability-for-failed-marikana-housing-2022-08-16,https://www.miningweekly.com/article/human-rights-orgs-are-seeking-accountability-for-failed-marikana-housing-2022-08-16,manual_review_near_duplicate
0.998868,DISC-MEDIA-0578,WEB-MEDIA-003,Marikanamassacre Commemorated With Second Yearly Memorial Lecture,Marikana massacre commemorated with second yearly memorial lecture,2021,2021,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/marikanamassacre-commemorated-with-second-yearly-memorial-lecture-2021-08-17,https://www.miningweekly.com/article/marikanamassacre-commemorated-with-second-yearly-memorial-lecture-2021-08-17,manual_review_near_duplicate
0.998800,DISC-MEDIA-0637,SAT-MEDIA-013,Sibanye Files Court Papers To Oppose Application To Halt R52Bn Lonmin Merger,Sibanye files court papers to oppose application to halt R5.2bn Lonmin merger,2019,2019,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/sibanye-files-court-papers-to-oppose-application-to-halt-r52bn-lonmin-merger-2019-08-02,https://www.miningweekly.com/article/sibanye-files-court-papers-to-oppose-application-to-halt-r52bn-lonmin-merger-2019-08-02,manual_review_near_duplicate
0.998719,MEDIA-051,WEB-MEDIA-001,Sibanye plans to cut 5 270 jobs as it restructures Marikana operations,Sibanye to cut 5 270 jobs as it restructures Marikana operations,2019,2019,Mining Weekly,Mining Weekly,https://www.miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,https://www.miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,manual_review_near_duplicate
0.998653,MEDIA-049,SAT-MEDIA-011,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed","Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",2019,2019,Mining Weekly,Mining Weekly,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,manual_review_near_duplicate
0.998531,MEDIA-050,SAT-MEDIA-012,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,2019,2019,Mining Weekly,Mining Weekly,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,manual_review_near_duplicate
0.998516,DISC-MEDIA-0649,SAT-MEDIA-015,Sibanye Stillwater Restructures Historical Lonmin Bee Structure,Sibanye-Stillwater restructures historical Lonmin BEE structure,2021,2021,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/sibanye-stillwater-restructures-historical-lonmin-bee-structure-2021-04-14,https://www.miningweekly.com/article/sibanye-stillwater-restructures-historical-lonmin-bee-structure-2021-04-14,manual_review_near_duplicate
0.998515,DISC-MEDIA-0423,SAT-EARLY-MEDIA-007,Lonmin Artisan College Forging Ahead Despite 2012 Setbacks,Lonmin artisan college forging ahead despite 2012 setbacks,2013,2013,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/lonmin-artisan-college-forging-ahead-despite-2012-setbacks-2013-03-05,https://www.miningweekly.com/article/lonmin-artisan-college-forging-ahead-despite-2012-setbacks-2013-03-05,manual_review_near_duplicate
