cluster_id,normalised_title,year,candidate_id,title,publisher,source_url,text_sha256,decision
1,bapo cancel protest march against lonmin after reaching new employment deal,2015,DISC-MEDIA-0378,Bapo Cancel Protest March Against Lonmin After Reaching New Employment Deal,Engineering News,https://www.engineeringnews.co.za/article/bapo-cancel-protest-march-against-lonmin-after-reaching-new-employment-deal-2015-06-17,15f62bdf86d15345069aafcb00393024b2e42e5da092672c5478b1572b817a99,manual_review_same_title_year
1,bapo cancel protest march against lonmin after reaching new employment deal,2015,SAT-EARLY-MEDIA-005,Bapo cancel protest march against Lonmin after reaching new employment deal,Mining Weekly / African News Agency,https://www.miningweekly.com/article/bapo-cancel-protest-march-against-lonmin-after-reaching-new-employment-deal-2015-06-17,cb54a9dcc41c76e674d821d58c19fbfd068dbd1361aecd094902508a5e6ca8c5,manual_review_same_title_year
2,farlam finds against lonmin recommends enforced housing delivery,2015,MEDIA-040,"Farlam finds against Lonmin, recommends enforced housing delivery",Mining Weekly,https://www.miningweekly.com/article/farlam-finds-against-lonmin-recommends-enforced-housing-delivery-2015-06-25,d05abd9b75e95d276d8c99fc43c6f99a8e073c1cb9546a8cc819f40ae9026a95,manual_review_same_title_year
2,farlam finds against lonmin recommends enforced housing delivery,2015,SAT5-MEDIA-001,"Farlam finds against Lonmin, recommends enforced housing delivery",Mining Weekly / Creamer Media,https://www.engineeringnews.co.za/article/marikana-report-2015-06-25,3684ebbcf169aafbb1be2f2c91a2e070f6466944be6845774b9bd6f5ee7bdf04,manual_review_same_title_year
3,lonmin artisan college forging ahead despite 2012 setbacks,2013,DISC-MEDIA-0423,Lonmin Artisan College Forging Ahead Despite 2012 Setbacks,Engineering News,https://www.engineeringnews.co.za/article/lonmin-artisan-college-forging-ahead-despite-2012-setbacks-2013-03-05,a4e4f613f2bfe871abf154fafe0c20eeba1893e499d8001801e31078e70c1c59,manual_review_same_title_year
3,lonmin artisan college forging ahead despite 2012 setbacks,2013,SAT-EARLY-MEDIA-007,Lonmin artisan college forging ahead despite 2012 setbacks,Mining Weekly,https://www.miningweekly.com/article/lonmin-artisan-college-forging-ahead-despite-2012-setbacks-2013-03-05,343c41226d19d33ca448c5608c5f9a7100c5b0d7e317e2cc58b26d44a2701cac,manual_review_same_title_year
4,lonmin buys remaining pandora stake,2017,DISC-MEDIA-0428,Lonmin Buys Remaining Pandora Stake,Engineering News,https://www.engineeringnews.co.za/article/lonmin-buys-remaining-pandora-stake-2017-05-15,6ed0d2c55677f8cb157a79a6c55a3ece2b64070dca25818a0a3f3d826b1615fa,manual_review_same_title_year
4,lonmin buys remaining pandora stake,2017,DISC-MEDIA-0429,Lonmin Buys Remaining Pandora Stake,Engineering News,https://www.engineeringnews.co.za/article/lonmin-buys-remaining-pandora-stake-2017-05-26,8bf69eef64d20a1071b04aa462e4f2c49d9a4eced2a1e23fb3c38430b2b2cf5a,manual_review_same_title_year
5,lonmin donates 50 ha of land for residential development,2013,MEDIA-031,Lonmin donates 50 ha of land for residential development,Mining Weekly,https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,8abafe52c18e50ba526763013b9113b25c5f0031c9a750c110e9b533f188ec53,manual_review_same_title_year
5,lonmin donates 50 ha of land for residential development,2013,DISC-MEDIA-0450,Lonmin Donates 50 Ha Of Land For Residential Development,Engineering News,https://www.engineeringnews.co.za/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-11-08,95627968fb9fc0bd1c509158813c8400986b78e002dd90c69f73deaff8c71a12,manual_review_same_title_year
