canonical_record_id,source_phase,title,year,publisher,url,text_sha256,text_words,analysis_ready,cross_phase_status,duplicate_representative_record_id,explicit_duplicate_review_status,broad_near_duplicate_review_status,textwide_near_duplicate_review_status,fresh_recovery_reconciliation_status,corpus_freeze_status
OFFICIAL-001,prior_screened_300,AMCU Heads of Argument,2014,AMCU,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-AMCU.pdf,2329ab8cdbe3f8fa3df7ee773e7e983be5312963fdc8b679bdef89a76073d5e8,57418,true,retained_prior_screened_record,OFFICIAL-001,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
OFFICIAL-002,prior_screened_300,Bapo ba Mogale Heads of Argument,2014,Bapo ba Mogale,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-BapoBaMogale.pdf,bf91091cb4bf84e25d30f185ba2eb3585778bf3380225d4784d38d5dc3502d81,4217,true,retained_prior_screened_record,OFFICIAL-002,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
OFFICIAL-003,prior_screened_300,DMR-Shabangu Heads of Argument,2014,DMR / Minister Shabangu,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DMR-Shabangu.pdf,5288dfb49d45a8f549d5229874e443544b52b896cbe321e8d1b7863392bdce22,4322,true,retained_prior_screened_record,OFFICIAL-003,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
OFFICIAL-004,prior_screened_300,Heads of Argument of Evidence Leaders,2014,Evidence Leaders,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-EvidenceLeaders.pdf,f4ce0be5d9baf3db8d7d074b677d63407395ef7b7bdc5299da78d6cbd1e34796,169497,true,retained_prior_screened_record,OFFICIAL-004,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
OFFICIAL-005,prior_screened_300,Heads of Argument on behalf of Families,2014,Families,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Families.pdf,97197fa8184c836d151d3fbd7b4a1ab98de9f6d2e3c2f1ad892a10be1a866b60,76233,true,retained_prior_screened_record,OFFICIAL-005,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
OFFICIAL-006,prior_screened_300,Heads of Argument of Injured and Arrested Persons,2014,Injured and Arrested Persons,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-InjuredArrested.pdf,356f1855cd0637e8952cc67ecdc60abc4b4d9c4f5a4c2cab6c9f67b8f1af8574,73475,true,retained_prior_screened_record,OFFICIAL-006,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
OFFICIAL-007,prior_screened_300,Lonmin Heads of Argument,2014,Lonmin,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Lonmin.pdf,5c1f24061040aecc1558bba8d8970a60f48a6f7dcafe4ce43a04a2f74a457973,45505,true,retained_prior_screened_record,OFFICIAL-007,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
OFFICIAL-008,prior_screened_300,Heads of Argument of the Legal Resources Centre (Phase 1) on behalf of the Ledingoane Family and Bench Marks Foundation,2014,Bench Marks Foundation / Ledingoane Family (represented by Legal Resources Centre),https://www.justice.gov.za/comm-mrk/docs/201411-HoA-LRC.pdf,a649b91c5e35c9cfc39e86fd53c0a163fe971bc0f937ee9ab30b37911d9bbb8f,69796,true,retained_prior_screened_record,OFFICIAL-008,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
OFFICIAL-009,prior_screened_300,Mthethwa Heads of Argument,2014,Nathi Mthethwa,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Mthethwa.pdf,892f98b329784669fab509bbb8e55f1e9689245c0fe10bd136794bf3a7080589,6365,true,retained_prior_screened_record,OFFICIAL-009,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
OFFICIAL-010,prior_screened_300,NUM & Mrs Fundi Heads of Argument,2014,NUM and Mrs Fundi,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-NUM-MrsFundi.pdf,3fdc8bf2a63f46b2df2e4212f34f53a78de15400010c50235f7f6284855cf532,43558,true,retained_prior_screened_record,OFFICIAL-010,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
OFFICIAL-011,prior_screened_300,Ramaphosa Heads of Argument,2014,Cyril Ramaphosa,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Ramaphosa.pdf,ab7a93971c586d66ee5da7a6c867d195ffbd0917fc9b5447d789395177580feb,16541,true,retained_prior_screened_record,OFFICIAL-011,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
OFFICIAL-012,prior_screened_300,SAHRC Heads of Argument,2014,South African Human Rights Commission,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-SAHRC.pdf,6bdf5798adaa8e731758f3498481812084e324086335a3b606ec3e17c364d6d6,174810,true,retained_prior_screened_record,OFFICIAL-012,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
