candidate_id,publisher,url,canonical_url,year,title,prescreen_bucket,final_url,targeted_fetch_status,targeted_fetch_error,publication_date_from_url,retrieved_text_words,retrieved_text_sha256,retrieved_lonmin_mentions,retrieved_sibanye_mentions,case_terms,case_mentions_total,event_terms,event_mentions_total,event_distinct_terms,social_terms,social_mentions_total,social_distinct_terms,corporate_terms,corporate_mentions_total,corporate_distinct_terms,early_aug_oct_2012_window,title_has_routine_corporate_signal,title_has_case_process_signal,evidence_class,evidence_note,final_decision,final_reason_code,final_evidence_note
SEC-MEDIA-0001,Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-15-down-with-amcu-and-malema-cosatu-and-mk-sing-from-the-same-song-sheet/,https://dailymaverick.co.za/article/2012-10-15-down-with-amcu-and-malema-cosatu-and-mk-sing-from-the-same-song-sheet,2012,Down With Amcu And Malema Cosatu And Mk Sing From The Same Song Sheet,secondary_keyword_only_review,https://www.dailymaverick.co.za/article/2012-10-15-down-with-amcu-and-malema-cosatu-and-mk-sing-from-the-same-song-sheet/,retrieved_extracted,,2012-10-15,871,c7cac2e941e12ec09829f61f3676b0bb247bc3d95968f5fb358917ad06f1aada,0,0,marikana,4,strike;worker_miner;police;shooting_death;union,33,5,,0,0,,0,0,true,false,true,strong_case_context_supported,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0002,Daily Maverick,https://www.dailymaverick.co.za/article/2013-01-18-amcu-the-champion-of-nationalisation-sort-of/,https://dailymaverick.co.za/article/2013-01-18-amcu-the-champion-of-nationalisation-sort-of,2013,Amcu The Champion Of Nationalisation Sort Of,secondary_keyword_only_review,https://www.dailymaverick.co.za/article/2013-01-18-amcu-the-champion-of-nationalisation-sort-of/,retrieved_extracted,,2013-01-18,1045,80e18065115f3ec576acda8d3c345d4cf925e32479d9b6419340e6c8dab66af1,0,0,marikana,1,strike;worker_miner;shooting_death;union;protest_unrest,37,5,commission_inquiry,1,1,transaction;exploration_project,3,2,false,false,true,strong_case_context_supported,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0003,Daily Maverick,https://www.dailymaverick.co.za/article/2013-02-20-rustenburg-amcu-and-num-call-a-truce-for-now/,https://dailymaverick.co.za/article/2013-02-20-rustenburg-amcu-and-num-call-a-truce-for-now,2013,Rustenburg Amcu And Num Call A Truce For Now,secondary_keyword_only_review,https://www.dailymaverick.co.za/article/2013-02-20-rustenburg-amcu-and-num-call-a-truce-for-now/,retrieved_extracted,,2013-02-20,1275,9e0f739cb9585507147798b32cc12c4eccaa08f82dbcf1054529539e4452250f,1,0,marikana,4,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,81,7,commission_inquiry,2,1,earnings_results,1,1,false,false,true,strong_case_context_supported,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0004,Daily Maverick,https://www.dailymaverick.co.za/article/2013-04-09-the-numamcu-cold-war-moves-to-bargaining-councils/,https://dailymaverick.co.za/article/2013-04-09-the-numamcu-cold-war-moves-to-bargaining-councils,2013,The Numamcu Cold War Moves To Bargaining Councils,secondary_keyword_only_review,https://www.dailymaverick.co.za/article/2013-04-09-the-numamcu-cold-war-moves-to-bargaining-councils/,retrieved_extracted,,2013-04-09,1109,1ad98502f846ee3bae7aefbf8b33faa6d940336d48be662206ed9143b93045d3,6,0,marikana,5,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,79,7,commission_inquiry,3,1,transaction,1,1,false,false,false,strong_case_context_supported,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0005,Daily Maverick,https://www.dailymaverick.co.za/article/2013-05-14-negotiating-season-amcus-headache-mathunjwas-migraine/,https://dailymaverick.co.za/article/2013-05-14-negotiating-season-amcus-headache-mathunjwas-migraine,2013,Negotiating Season Amcus Headache Mathunjwas Migraine,secondary_keyword_only_review,https://www.dailymaverick.co.za/article/2013-05-14-negotiating-season-amcus-headache-mathunjwas-migraine/,retrieved_extracted,,2013-05-14,1281,0c658ab76a08d742469b0abebee453e87bbe214a0138a26101ac017b06ba4a1a,2,0,marikana,5,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,31,7,justice_accountability,1,1,share_price,1,1,false,false,false,strong_case_context_supported,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0006,Daily Maverick,https://www.dailymaverick.co.za/article/2013-05-17-anglo-platinum-strike-still-looms/,https://dailymaverick.co.za/article/2013-05-17-anglo-platinum-strike-still-looms,2013,Anglo Platinum Strike Still Looms,secondary_keyword_only_review,https://www.dailymaverick.co.za/article/2013-05-17-anglo-platinum-strike-still-looms/,retrieved_extracted,,2013-05-17,1864,162c201230f041b094d3c1b4b92bf5f9654a5881c5c096cc402240530d4f22e2,0,0,marikana,1,strike;worker_miner;wage;union;protest_unrest,53,5,housing;community,10,2,earnings_results;funding_debt;transaction;exploration_project;commodity_market,19,5,false,false,true,strong_case_context_supported,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0007,Daily Maverick,https://www.dailymaverick.co.za/article/2013-07-04-agreement-for-a-sustainable-mining-industry-amcu-needs-more-time/,https://dailymaverick.co.za/article/2013-07-04-agreement-for-a-sustainable-mining-industry-amcu-needs-more-time,2013,Agreement For A Sustainable Mining Industry Amcu Needs More Time,secondary_keyword_only_review,https://www.dailymaverick.co.za/article/2013-07-04-agreement-for-a-sustainable-mining-industry-amcu-needs-more-time/,retrieved_extracted,,2013-07-04,1053,b100cf746a40cddf01af16dc4fa9ea310d0b7fc3e40fe68d8cc7af004dc89faf,3,0,marikana,1,worker_miner;police;wage;union,37,4,housing,1,1,earnings_results,1,1,false,false,true,strong_case_context_supported,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0008,Daily Maverick,https://www.dailymaverick.co.za/article/2013-09-05-all-that-glitters-compromises-in-gold-strike-amcu-claims-conspiracy/,https://dailymaverick.co.za/article/2013-09-05-all-that-glitters-compromises-in-gold-strike-amcu-claims-conspiracy,2013,All That Glitters Compromises In Gold Strike Amcu Claims Conspiracy,secondary_keyword_only_review,https://www.dailymaverick.co.za/article/2013-09-05-all-that-glitters-compromises-in-gold-strike-amcu-claims-conspiracy/,retrieved_extracted,,2013-09-05,1053,00c2d45cfd44aac94504c0b443e65767aa3a7cc31d8d540da43a6629af2033dd,1,1,,0,strike;worker_miner;shooting_death;wage;union;protest_unrest,66,6,housing,2,1,production_output;exploration_project,2,2,false,false,true,possible_lonmin_substantive_context,Lonmin appears with labour/event/social/governance signals; direct substantive review is required.,,,
SEC-MEDIA-0009,Daily Maverick,https://www.dailymaverick.co.za/article/2013-10-01-num-amcu-resist-amplats-dismissals/,https://dailymaverick.co.za/article/2013-10-01-num-amcu-resist-amplats-dismissals,2013,Num Amcu Resist Amplats Dismissals,secondary_keyword_only_review,https://www.dailymaverick.co.za/article/2013-10-01-num-amcu-resist-amplats-dismissals/,retrieved_extracted,,2013-10-01,788,a0c3e8277a2eac23070ce49154e2d8728592176a1a39b45350a52bdf20e92522,0,0,,0,strike;worker_miner;wage;union;protest_unrest,32,5,housing,1,1,share_price;production_output;commodity_market,5,3,false,false,true,no_case_anchor,"Extracted article text contains no Marikana, Lonmin or Sibanye anchor.",,,
SEC-MEDIA-0010,Daily Maverick,https://www.dailymaverick.co.za/article/2014-01-14-platinum-politics-under-pressure-to-deliver-amcu-shifts-to-damage-control/,https://dailymaverick.co.za/article/2014-01-14-platinum-politics-under-pressure-to-deliver-amcu-shifts-to-damage-control,2014,Platinum Politics Under Pressure To Deliver Amcu Shifts To Damage Control,secondary_keyword_only_review,https://www.dailymaverick.co.za/article/2014-01-14-platinum-politics-under-pressure-to-deliver-amcu-shifts-to-damage-control/,retrieved_extracted,,2014-01-14,772,0182ab0f638873707bbc98f6ed9475bac76980b9d803c1a70408a07faae2952d,2,0,marikana,1,strike;worker_miner;shooting_death;wage;union,69,5,community,1,1,production_output,1,1,false,false,true,strong_case_context_supported,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0011,Daily Maverick,https://www.dailymaverick.co.za/article/2014-01-22-platinum-strikes-to-amcu-its-about-more-than-just-the-money/,https://dailymaverick.co.za/article/2014-01-22-platinum-strikes-to-amcu-its-about-more-than-just-the-money,2014,Platinum Strikes To Amcu Its About More Than Just The Money,secondary_keyword_only_review,https://www.dailymaverick.co.za/article/2014-01-22-platinum-strikes-to-amcu-its-about-more-than-just-the-money/,retrieved_extracted,,2014-01-22,1086,74db8acec234148f8599ccc45167f8183b57d98e421d3a39feeb53e016191b7d,1,0,,0,strike;worker_miner;wage;union;protest_unrest,77,5,community,3,1,production_output;funding_debt,2,2,false,false,true,possible_lonmin_substantive_context,Lonmin appears with labour/event/social/governance signals; direct substantive review is required.,,,
