candidate_id,title,year,publisher,url,evidence_class,retrieved_lonmin_mentions,retrieved_sibanye_mentions,case_terms,case_mentions_total,event_terms,event_distinct_terms,social_terms,social_distinct_terms,corporate_terms,corporate_distinct_terms
SEC-MEDIA-0147,Amcu Ccma Talks Postponed Until Monday,2014,Engineering News,https://www.engineeringnews.co.za/article/amcu-ccma-talks-postponed-until-monday-2014-02-14,possible_lonmin_substantive_context,1,0,,0,worker_miner;union,2,commission_inquiry,1,earnings_results,1
SEC-MEDIA-0292,Ccma Amcu To Meet On Friday,2014,Engineering News,https://www.engineeringnews.co.za/article/ccma-amcu-to-meet-on-friday-2014-02-13,possible_lonmin_substantive_context,1,0,,0,worker_miner;union,2,commission_inquiry,1,earnings_results,1
SEC-MEDIA-0520,Safricas Amcu Says Wage Offer May Not Be Ready For Vote,2014,Engineering News,https://www.engineeringnews.co.za/article/safricas-amcu-says-wage-offer-may-not-be-ready-for-vote-2014-04-24,possible_lonmin_substantive_context,1,0,,0,worker_miner;wage;union,3,,0,earnings_results,1
SEC-MEDIA-0230,Amcu Tables Wage Demand In The Platinum Sector,2016,Engineering News,https://www.engineeringnews.co.za/article/amcu-tables-wage-demand-in-the-platinum-sector-2016-07-12,possible_lonmin_substantive_context,1,0,,0,strike;worker_miner;wage;union,4,housing,1,earnings_results,1
SEC-MEDIA-0239,Amcu To Set Wage Demands For Platinum Sector,2016,Engineering News,https://www.engineeringnews.co.za/article/amcu-to-set-wage-demands-for-platinum-sector-2016-05-16,possible_lonmin_substantive_context,2,1,,0,strike;worker_miner;wage;union,4,housing,1,earnings_results;transaction;commodity_market,3
SEC-MEDIA-0249,Amcu Vows To Fight Mining Job Cuts,2016,Engineering News,https://www.engineeringnews.co.za/article/amcu-vows-to-fight-mining-job-cuts-2016-03-18,possible_lonmin_substantive_context,2,3,,0,worker_miner;wage;union;protest_unrest,4,,0,earnings_results;transaction,2
SEC-MEDIA-0999,Sibanyes Stillwater Platinum Deal Runs Deep,2016,Engineering News,https://www.engineeringnews.co.za/article/sibanyes-stillwater-platinum-deal-runs-deep-2016-12-09,possible_lonmin_substantive_context,1,21,,0,worker_miner;wage,2,community,1,share_price;earnings_results;production_output;funding_debt;transaction;dividend_rights;exploration_project,7
SEC-MEDIA-0196,Amcu Rebuts As Libellous Allegations That It Is Behind Ongoing Bloodshed,2017,Engineering News,https://www.engineeringnews.co.za/article/amcu-rebuts-as-libellous-allegations-that-it-is-behind-ongoing-bloodshed-2017-10-27,possible_lonmin_substantive_context,2,0,,0,worker_miner;police;shooting_death;union,4,,0,earnings_results,1
SEC-MEDIA-0039,Joseph Mathunjwa Please Rethink The Deadly Sibanye Stillwater Strike,2018,Daily Maverick,https://www.dailymaverick.co.za/article/2018-12-07-joseph-mathunjwa-please-rethink-the-deadly-sibanye-stillwater-strike/,possible_lonmin_substantive_context,1,12,,0,strike;police;shooting_death;wage;union;protest_unrest,6,community,1,earnings_results,1
SEC-MEDIA-0231,Amcu Threatens Strike Action At Implats Over Planned Job Cuts,2018,Engineering News,https://www.engineeringnews.co.za/article/amcu-threatens-strike-action-at-implats-over-planned-job-cuts-2018-08-07,possible_lonmin_substantive_context,1,0,,0,strike;worker_miner;wage;union,4,,0,earnings_results,1
SEC-MEDIA-0232,Amcu Threatens Strike Action At Implats Over Planned Job Cuts,2018,Engineering News,https://www.engineeringnews.co.za/article/amcu-threatens-strike-action-at-implats-over-planned-job-cuts-2018-08-17,possible_lonmin_substantive_context,1,0,,0,strike;worker_miner;wage;union,4,,0,earnings_results,1
SEC-MEDIA-0442,Nothing Comes Before Safe Production Sibanye Stillwater,2018,Engineering News,https://www.engineeringnews.co.za/article/nothing-comes-before-safe-production-sibanye-stillwater-2018-08-23,possible_lonmin_substantive_context,1,10,,0,union,1,housing;community,2,earnings_results;production_output;exploration_project,3
SEC-MEDIA-0443,Nothing Comes Before Safe Production Sibanye Stillwater,2018,Engineering News,https://www.engineeringnews.co.za/article/nothing-comes-before-safe-production-sibanye-stillwater-2018-08-31,possible_lonmin_substantive_context,1,10,,0,union,1,housing;community,2,earnings_results;production_output;exploration_project,3
SEC-MEDIA-0459,Ongoing Interventions Improve Sibanye Stillwater Safety,2018,Engineering News,https://www.engineeringnews.co.za/article/ongoing-interventions-improve-sibanye-stillwater-safety-2018-11-01,possible_lonmin_substantive_context,1,8,,0,strike;wage;union,3,,0,share_price;earnings_results;production_output;transaction;exploration_project;commodity_market,6
SEC-MEDIA-0460,Ongoing Interventions Improve Sibanye Stillwater Safety,2018,Engineering News,https://www.engineeringnews.co.za/article/ongoing-interventions-improve-sibanye-stillwater-safety-2018-11-09,possible_lonmin_substantive_context,1,8,,0,strike;wage;union,3,,0,earnings_results;production_output;transaction;exploration_project;commodity_market,5
