candidate_id,title,year,publisher,url,evidence_class,retrieved_lonmin_mentions,retrieved_sibanye_mentions,case_terms,case_mentions_total,event_terms,event_distinct_terms,social_terms,social_distinct_terms,corporate_terms,corporate_distinct_terms
SEC-MEDIA-0002,Amcu The Champion Of Nationalisation Sort Of,2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-01-18-amcu-the-champion-of-nationalisation-sort-of/,strong_case_context_supported,0,0,marikana,1,strike;worker_miner;shooting_death;union;protest_unrest,5,commission_inquiry,1,transaction;exploration_project,2
SEC-MEDIA-0006,Anglo Platinum Strike Still Looms,2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-05-17-anglo-platinum-strike-still-looms/,strong_case_context_supported,0,0,marikana,1,strike;worker_miner;wage;union;protest_unrest,5,housing;community,2,earnings_results;funding_debt;transaction;exploration_project;commodity_market,5
SEC-MEDIA-0408,Mathunjwa Confirms Platinum Strikers Holding Firm To Wage Demands,2014,Engineering News,https://www.engineeringnews.co.za/article/mathunjwa-confirms-platinum-strikers-holding-firm-to-wage-demands-2014-02-05,strong_case_context_supported,0,0,marikana,1,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,7,housing;commission_inquiry,2,earnings_results;transaction,2
SEC-MEDIA-0805,Sibanye Shares Soar On Rustenburg Platinum Deal,2015,Engineering News,https://www.engineeringnews.co.za/article/sibanye-shares-soar-on-rustenburg-platinum-deal-2015-09-09,strong_case_context_supported,0,18,marikana,1,wage,1,community,1,share_price;earnings_results;production_output;transaction;exploration_project,5
SEC-MEDIA-0806,Sibanye Shares Soar On Rustenburg Platinum Deal,2015,Engineering News,https://www.engineeringnews.co.za/article/sibanye-shares-soar-on-rustenburg-platinum-deal-2015-09-18,strong_case_context_supported,0,18,marikana,1,wage,1,community,1,share_price;earnings_results;production_output;transaction;exploration_project,5
SEC-MEDIA-0038,Amcu Threatens Strike Over Planned Retrenchment Of 13 400 Implats Workers,2018,Daily Maverick,https://www.dailymaverick.co.za/article/2018-08-07-amcu-threatens-strike-over-planned-retrenchment-of-13-400-implats-workers/,strong_case_context_supported,1,1,marikana,1,strike;worker_miner;shooting_death;wage;union,5,,0,earnings_results;transaction;commodity_market,3
SEC-MEDIA-0043,Theyre Attacking Amcu Because We Are Fighting For Black Workers Mathunjwa,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-04-26-theyre-attacking-amcu-because-we-are-fighting-for-black-workers-mathunjwa/,strong_case_context_supported,1,1,marikana,1,strike;worker_miner;shooting_death;wage;union,5,,0,,0
SEC-MEDIA-0045,While Probably At Fault Amcu Is Hardly Alone In Seeing A Political Agenda In Moves To Disband It,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-04-29-while-probably-at-fault-amcu-is-hardly-alone-in-seeing-a-political-agenda-in-moves-to-disband-it/,strong_case_context_supported,1,1,marikana,1,strike;worker_miner;shooting_death;wage;union;protest_unrest,6,community,1,earnings_results,1
SEC-MEDIA-0046,Amcu Tables Big Wage Demands In Platinum Sector,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-06-14-amcu-tables-big-wage-demands-in-platinum-sector/,strong_case_context_supported,0,1,marikana,1,strike;worker_miner;shooting_death;wage;union,5,housing,1,,0
SEC-MEDIA-0048,Mathunjwa Likely To Remain At Helm As Amcu Holds Elective Conference,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-09-19-mathunjwa-likely-to-remain-at-helm-as-amcu-holds-elective-conference/,strong_case_context_supported,0,2,marikana,1,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,7,,0,,0
