record_id,source_phase,title,year,publisher,url,fetch_status,fetch_error,extraction_method,fresh_words,fresh_sha256,global_extraction_collision,usable_for_textwide_similarity
OFFICIAL-001,prior_screened_300,AMCU Heads of Argument,2014,AMCU,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-AMCU.pdf,retrieved_extracted,,pypdf,57418,72a14c105c27ddcc6ce49d164390ad7327a16476782b1a21e813d79c803afaeb,false,true
OFFICIAL-002,prior_screened_300,Bapo ba Mogale Heads of Argument,2014,Bapo ba Mogale,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-BapoBaMogale.pdf,retrieved_extracted,,pypdf,4217,d1fde7173357d6dda1d35e9c03a3f0379a1d4225624e197bdd133dba4d5f70cc,false,true
OFFICIAL-003,prior_screened_300,DMR-Shabangu Heads of Argument,2014,DMR / Minister Shabangu,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DMR-Shabangu.pdf,retrieved_extracted,,pypdf,4322,66bc1e06a21695264c7f2349df24b073c6fd2a24afd314643ff4a7571020eb4c,false,true
OFFICIAL-004,prior_screened_300,Heads of Argument of Evidence Leaders,2014,Evidence Leaders,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-EvidenceLeaders.pdf,retrieved_extracted,,pypdf,169497,75d4af7a0e5bd375738edd77c565b15b73ab97c43837b1ef3d788aba7a611be0,false,true
OFFICIAL-005,prior_screened_300,Heads of Argument on behalf of Families,2014,Families,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Families.pdf,retrieved_extracted,,pypdf,76233,a9b8f1c82d0978f4dac94ec4df90331e84c95c248a791fcbec47042bb1eb6fed,false,true
OFFICIAL-006,prior_screened_300,Heads of Argument of Injured and Arrested Persons,2014,Injured and Arrested Persons,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-InjuredArrested.pdf,retrieved_extracted,,pypdf,73475,770c6fcb8108ef1b039c79e438a1489cdb442e18de39919fd8b69c66c6b26153,false,true
OFFICIAL-007,prior_screened_300,Lonmin Heads of Argument,2014,Lonmin,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Lonmin.pdf,retrieved_extracted,,pypdf,45505,f48107132dae77e2661dbee4ab12b78a8afd778a8744fdddd9fe8284409a27ac,false,true
OFFICIAL-008,prior_screened_300,Heads of Argument of the Legal Resources Centre (Phase 1) on behalf of the Ledingoane Family and Bench Marks Foundation,2014,Bench Marks Foundation / Ledingoane Family (represented by Legal Resources Centre),https://www.justice.gov.za/comm-mrk/docs/201411-HoA-LRC.pdf,retrieved_extracted,,pypdf,69796,d0f4fdd08db181ffd47fdeba323238500aa34a18e65f38493e59ef66d4cfa584,false,true
OFFICIAL-009,prior_screened_300,Mthethwa Heads of Argument,2014,Nathi Mthethwa,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Mthethwa.pdf,retrieved_extracted,,pypdf,6365,3afac08dde92e496a25e85dfaef2f097a85ef16c7c4d2dd25827ff66d0155061,false,true
OFFICIAL-010,prior_screened_300,NUM & Mrs Fundi Heads of Argument,2014,NUM and Mrs Fundi,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-NUM-MrsFundi.pdf,retrieved_extracted,,pypdf,43558,a63cfb5ccb5f9e3df099f74c83a47627fb5b8b838d91e6d11a4938ea74df7ce6,false,true
