criterion_j,criterion_k,lhs,rhs,abs_error
NPV,IRR,1.2534222141723712,1.2534222141723714,2.220446049250313e-16
NPV,Geological Feasibility,1.6395465582744722,1.6395465582744724,2.220446049250313e-16
NPV,Market Stability,1.6090653928614755,1.6090653928614755,0.0
NPV,Local Employment,1.5214244926790657,1.5214244926790659,2.220446049250313e-16
NPV,Community Infrastructure,2.287532506261624,2.287532506261624,0.0
IRR,Geological Feasibility,1.3080560881530705,1.3080560881530705,0.0
IRR,Market Stability,1.2837377339158886,1.2837377339158886,0.0
IRR,Local Employment,1.2138164422781155,1.2138164422781155,0.0
IRR,Community Infrastructure,1.8250294915764442,1.8250294915764442,0.0
Geological Feasibility,Market Stability,0.9814087832643946,0.9814087832643945,1.1102230246251565e-16
Geological Feasibility,Local Employment,0.9279544304495244,0.9279544304495243,1.1102230246251565e-16
Geological Feasibility,Community Infrastructure,1.3952226575798612,1.395222657579861,2.220446049250313e-16
Market Stability,Local Employment,0.945533040129243,0.9455330401292431,1.1102230246251565e-16
Market Stability,Community Infrastructure,1.421652915046292,1.421652915046292,0.0
Local Employment,Community Infrastructure,1.503546523188623,1.503546523188623,0.0
