record_id,stakeholder_group,criterion,matched_sentences,distinct_phrase_families,sentence_units,relevant_s1_f1,relevant_s2_f1,relevant_s2_f2,relevant_s3_f2
CORP-001,investor,Community Infrastructure,110,10,2812,true,true,true,true
CORP-001,investor,Geological Feasibility,55,5,2812,true,true,true,true
CORP-001,investor,IRR,10,1,2812,true,true,false,false
CORP-001,investor,Local Employment,208,7,2812,true,true,true,true
CORP-001,investor,Market Stability,32,6,2812,true,true,true,true
CORP-001,investor,NPV,108,5,2812,true,true,true,true
CORP-002,investor,Community Infrastructure,55,10,3257,true,true,true,true
CORP-002,investor,Geological Feasibility,42,4,3257,true,true,true,true
CORP-002,investor,IRR,12,1,3257,true,true,false,false
CORP-002,investor,Local Employment,155,8,3257,true,true,true,true
CORP-002,investor,Market Stability,24,4,3257,true,true,true,true
CORP-002,investor,NPV,84,5,3257,true,true,true,true
CORP-003,investor,Community Infrastructure,79,10,3325,true,true,true,true
CORP-003,investor,Geological Feasibility,36,4,3325,true,true,true,true
CORP-003,investor,IRR,15,2,3325,true,true,true,true
CORP-003,investor,Local Employment,275,8,3325,true,true,true,true
CORP-003,investor,Market Stability,32,4,3325,true,true,true,true
CORP-003,investor,NPV,90,4,3325,true,true,true,true
CORP-004,investor,Community Infrastructure,37,7,3090,true,true,true,true
CORP-004,investor,Geological Feasibility,8,2,3090,true,true,true,true
CORP-004,investor,IRR,10,1,3090,true,true,false,false
CORP-004,investor,Local Employment,44,4,3090,true,true,true,true
CORP-004,investor,Market Stability,12,2,3090,true,true,true,true
CORP-004,investor,NPV,104,4,3090,true,true,true,true
CORP-006,investor,Community Infrastructure,4,3,893,true,true,true,true
CORP-006,investor,Geological Feasibility,3,2,893,true,true,true,true
CORP-006,investor,IRR,0,0,893,false,false,false,false
CORP-006,investor,Local Employment,2,1,893,true,true,false,false
CORP-006,investor,Market Stability,1,1,893,true,false,false,false
CORP-006,investor,NPV,47,4,893,true,true,true,true
CORP-008,investor,Community Infrastructure,1,1,3,true,false,false,false
CORP-008,investor,Geological Feasibility,0,0,3,false,false,false,false
CORP-008,investor,IRR,0,0,3,false,false,false,false
CORP-008,investor,Local Employment,2,1,3,true,true,false,false
CORP-008,investor,Market Stability,0,0,3,false,false,false,false
CORP-008,investor,NPV,0,0,3,false,false,false,false
CORP-009,investor,Community Infrastructure,3,3,22,true,true,true,true
CORP-009,investor,Geological Feasibility,3,3,22,true,true,true,true
CORP-009,investor,IRR,1,1,22,true,false,false,false
CORP-009,investor,Local Employment,4,3,22,true,true,true,true
