stakeholder_group,criterion,recovered_documents,relevant_documents,A_sj
government,NPV,318,0,0.0
government,IRR,318,0,0.0
government,Geological Feasibility,318,0,0.0
government,Market Stability,318,0,0.0
government,Local Employment,318,169,0.5314465408805031
government,Community Infrastructure,318,90,0.2830188679245283
investor,NPV,147,13,0.08843537414965986
investor,IRR,147,3,0.02040816326530612
investor,Geological Feasibility,147,9,0.061224489795918366
investor,Market Stability,147,9,0.061224489795918366
investor,Local Employment,147,118,0.8027210884353742
investor,Community Infrastructure,147,111,0.7551020408163265
community,NPV,33,0,0.0
community,IRR,33,0,0.0
community,Geological Feasibility,33,0,0.0
community,Market Stability,33,0,0.0
community,Local Employment,33,17,0.5151515151515151
community,Community Infrastructure,33,21,0.6363636363636364
labour,NPV,244,0,0.0
labour,IRR,244,1,0.004098360655737705
labour,Geological Feasibility,244,1,0.004098360655737705
labour,Market Stability,244,0,0.0
labour,Local Employment,244,235,0.9631147540983607
labour,Community Infrastructure,244,129,0.5286885245901639
NGO,NPV,32,1,0.03125
NGO,IRR,32,1,0.03125
NGO,Geological Feasibility,32,4,0.125
NGO,Market Stability,32,1,0.03125
NGO,Local Employment,32,18,0.5625
NGO,Community Infrastructure,32,9,0.28125
