min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
1,1,salience_times_contention,0.0,NPV,0.25,0.06159522934157533,0.25,0.0
1,1,salience_times_contention,0.0,IRR,0.2,0.04849088175724715,0.2,0.0
1,1,salience_times_contention,0.0,Geological Feasibility,0.15,0.20182169971325853,0.15,0.0
1,1,salience_times_contention,0.0,Market Stability,0.15,0.07726746920193044,0.15,0.0
1,1,salience_times_contention,0.0,Local Employment,0.15,0.8610741894288334,0.15,0.0
1,1,salience_times_contention,0.0,Community Infrastructure,0.1,0.6644509254947117,0.1,0.0
1,1,salience_times_contention,0.1,NPV,0.25,0.06159522934157533,0.24510426195338314,-0.00489573804661686
1,1,salience_times_contention,0.1,IRR,0.2,0.04849088175724715,0.19582802807539165,-0.004171971924608359
1,1,salience_times_contention,0.1,Geological Feasibility,0.15,0.20182169971325853,0.14911213905701065,-0.0008878609429893436
1,1,salience_times_contention,0.1,Market Stability,0.15,0.07726746920193044,0.1472916261832495,-0.0027083738167504867
1,1,salience_times_contention,0.1,Local Employment,0.15,0.8610741894288334,0.15874792292127016,0.008747922921270163
1,1,salience_times_contention,0.1,Community Infrastructure,0.1,0.6644509254947117,0.10391602180969498,0.0039160218096949695
1,1,salience_times_contention,0.3,NPV,0.25,0.06159522934157533,0.23602774302047239,-0.013972256979527614
1,1,salience_times_contention,0.3,IRR,0.2,0.04849088175724715,0.18809334501009817,-0.011906654989901844
1,1,salience_times_contention,0.3,Geological Feasibility,0.15,0.20182169971325853,0.1474660774045896,-0.0025339225954103817
1,1,salience_times_contention,0.3,Market Stability,0.15,0.07726746920193044,0.14227040037601432,-0.007729599623985672
1,1,salience_times_contention,0.3,Local Employment,0.15,0.8610741894288334,0.1749662514475321,0.024966251447532117
1,1,salience_times_contention,0.3,Community Infrastructure,0.1,0.6644509254947117,0.1111761827412934,0.011176182741293395
1,1,salience_times_contention,0.5,NPV,0.25,0.06159522934157533,0.2277938743964591,-0.022206125603540905
1,1,salience_times_contention,0.5,IRR,0.2,0.04849088175724715,0.18107673823841122,-0.01892326176158879
1,1,salience_times_contention,0.5,Geological Feasibility,0.15,0.20182169971325853,0.14597283362982957,-0.004027166370170421
1,1,salience_times_contention,0.5,Market Stability,0.15,0.07726746920193044,0.13771533758885166,-0.01228466241114834
1,1,salience_times_contention,0.5,Local Employment,0.15,0.8610741894288334,0.18967889484897138,0.039678894848971386
1,1,salience_times_contention,0.5,Community Infrastructure,0.1,0.6644509254947117,0.11776232129747714,0.017762321297477138
1,1,salience_times_contention,0.8,NPV,0.25,0.06159522934157533,0.21678305713855783,-0.03321694286144217
1,1,salience_times_contention,0.8,IRR,0.2,0.04849088175724715,0.17169371569317884,-0.028306284306821167
1,1,salience_times_contention,0.8,Geological Feasibility,0.15,0.20182169971325853,0.14397597952926364,-0.006024020470736358
1,1,salience_times_contention,0.8,Market Stability,0.15,0.07726746920193044,0.1316240375890626,-0.01837596241093739
1,1,salience_times_contention,0.8,Local Employment,0.15,0.8610741894288334,0.20935351382472991,0.05935351382472992
1,1,salience_times_contention,0.8,Community Infrastructure,0.1,0.6644509254947117,0.1265696962252071,0.026569696225207107
1,1,salience_only,0.0,NPV,0.25,0.06821082355193071,0.25,0.0
1,1,salience_only,0.0,IRR,0.2,0.05089367916464534,0.2,0.0
1,1,salience_only,0.0,Geological Feasibility,0.15,0.20619668621980333,0.15,0.0
1,1,salience_only,0.0,Market Stability,0.15,0.08259519239154305,0.15,0.0
1,1,salience_only,0.0,Local Employment,0.15,0.86215974393777,0.15,0.0
1,1,salience_only,0.0,Community Infrastructure,0.1,0.6798351996490963,0.1,0.0
1,1,salience_only,0.1,NPV,0.25,0.06821082355193071,0.2451390327161986,-0.004860967283801393
1,1,salience_only,0.1,IRR,0.2,0.05089367916464534,0.19577391833553656,-0.004226081664463449
1,1,salience_only,0.1,Geological Feasibility,0.15,0.20619668621980333,0.1490992129913631,-0.000900787008636883
1,1,salience_only,0.1,Market Stability,0.15,0.08259519239154305,0.14729355648473974,-0.002706443515260254
1,1,salience_only,0.1,Local Employment,0.15,0.86215974393777,0.1586819771359351,0.008681977135935104
1,1,salience_only,0.1,Community Infrastructure,0.1,0.6798351996490963,0.10401230233622694,0.0040123023362269306
1,1,salience_only,0.3,NPV,0.25,0.06821082355193071,0.23614021865354332,-0.013859781346456684
1,1,salience_only,0.3,IRR,0.2,0.05089367916464534,0.18795042953345525,-0.012049570466544757
1,1,salience_only,0.3,Geological Feasibility,0.15,0.20619668621980333,0.14743164060761316,-0.0025683593923868375
1,1,salience_only,0.3,Market Stability,0.15,0.08259519239154305,0.14228328166843604,-0.007716718331563954
1,1,salience_only,0.3,Local Employment,0.15,0.86215974393777,0.17475439510979304,0.024754395109793048
1,1,salience_only,0.3,Community Infrastructure,0.1,0.6798351996490963,0.11144003442715926,0.011440034427159254
