delta,stakeholder,SIC,max_abs_change_from_base_after_normalization,weight_NPV,weight_IRR,weight_Geological Feasibility,weight_Market Stability,weight_Local Employment,weight_Community Infrastructure
0.0,government,0.703,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.0,investor,0.77,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.0,community,0.749,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.0,labour,0.807,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.0,NGO,0.686,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.1,government,0.703,5.551115123125783e-17,0.25000000000000006,0.20000000000000007,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.10000000000000003
0.1,investor,0.77,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.1,community,0.749,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.1,labour,0.807,5.551115123125783e-17,0.25000000000000006,0.20000000000000004,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.10000000000000002
0.1,NGO,0.686,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.3,government,0.703,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.3,investor,0.77,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.3,community,0.749,5.551115123125783e-17,0.24999999999999994,0.19999999999999998,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.09999999999999999
0.3,labour,0.807,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.3,NGO,0.686,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.5,government,0.703,5.551115123125783e-17,0.24999999999999997,0.19999999999999996,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.09999999999999998
0.5,investor,0.77,2.7755575615628914e-17,0.24999999999999997,0.19999999999999998,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.09999999999999999
0.5,community,0.749,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.5,labour,0.807,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.5,NGO,0.686,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.8,government,0.703,5.551115123125783e-17,0.25000000000000006,0.20000000000000004,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.10000000000000002
0.8,investor,0.77,5.551115123125783e-17,0.25000000000000006,0.20000000000000004,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.10000000000000002
0.8,community,0.749,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.8,labour,0.807,0.0,0.25,0.2,0.15,0.15,0.15,0.1
0.8,NGO,0.686,2.7755575615628914e-17,0.25,0.20000000000000004,0.15,0.15,0.15,0.10000000000000002
1.0,government,0.703,2.7755575615628914e-17,0.25,0.20000000000000004,0.15,0.15,0.15,0.10000000000000002
1.0,investor,0.77,2.7755575615628914e-17,0.24999999999999997,0.19999999999999998,0.15,0.15,0.15,0.09999999999999999
1.0,community,0.749,2.7755575615628914e-17,0.24999999999999997,0.19999999999999998,0.15,0.15,0.15,0.09999999999999999
1.0,labour,0.807,2.7755575615628914e-17,0.24999999999999997,0.19999999999999998,0.14999999999999997,0.14999999999999997,0.14999999999999997,0.09999999999999999
1.0,NGO,0.686,5.551115123125783e-17,0.25000000000000006,0.20000000000000004,0.15,0.15,0.15,0.10000000000000002
