reading_a_weight,reading_b_weight,adjudication_threshold,adjudicated_from_pass1_unlabelled,labelled_total,resistant_count,pro_integration_count,unresolved_count,pro_fraction_among_labelled,resistant_fraction_among_labelled,max_possible_pro_fraction_if_all_unresolved_pro,min_possible_resistant_fraction_if_all_unresolved_pro
0.4,0.6,0.0,138,873,785,88,3,0.10080183276059565,0.8991981672394044,0.10388127853881278,0.8961187214611872
0.4,0.6,0.1,117,852,765,87,24,0.10211267605633803,0.897887323943662,0.1267123287671233,0.8732876712328768
0.4,0.6,0.2,103,838,758,80,38,0.0954653937947494,0.9045346062052506,0.13470319634703196,0.865296803652968
0.4,0.6,0.3,79,814,744,70,62,0.085995085995086,0.914004914004914,0.1506849315068493,0.8493150684931506
0.4,0.6,0.5,41,776,712,64,100,0.08247422680412371,0.9175257731958762,0.1872146118721461,0.8127853881278538
0.4,0.6,0.75,23,758,694,64,118,0.08443271767810026,0.9155672823218998,0.20776255707762556,0.7922374429223744
0.4,0.6,1.0,10,745,681,64,131,0.08590604026845637,0.9140939597315436,0.2226027397260274,0.7773972602739726
0.5,0.5,0.0,138,873,785,88,3,0.10080183276059565,0.8991981672394044,0.10388127853881278,0.8961187214611872
0.5,0.5,0.1,116,851,763,88,25,0.10340775558166862,0.8965922444183314,0.12899543378995434,0.8710045662100456
0.5,0.5,0.2,101,836,754,82,40,0.09808612440191387,0.9019138755980861,0.13926940639269406,0.860730593607306
0.5,0.5,0.3,76,811,736,75,65,0.09247842170160296,0.9075215782983971,0.1598173515981735,0.8401826484018264
0.5,0.5,0.5,43,778,712,66,98,0.08483290488431877,0.9151670951156813,0.1872146118721461,0.8127853881278538
0.5,0.5,0.75,12,747,683,64,129,0.0856760374832664,0.9143239625167336,0.22031963470319635,0.7796803652968036
0.5,0.5,1.0,4,739,676,63,137,0.08525033829499323,0.9147496617050067,0.228310502283105,0.771689497716895
0.6,0.4,0.0,138,873,779,94,3,0.10767468499427263,0.8923253150057274,0.11073059360730593,0.889269406392694
0.6,0.4,0.1,104,839,752,87,37,0.10369487485101311,0.8963051251489869,0.1415525114155251,0.8584474885844748
0.6,0.4,0.2,85,820,737,83,56,0.10121951219512196,0.8987804878048781,0.158675799086758,0.841324200913242
0.6,0.4,0.3,72,807,730,77,69,0.09541511771995044,0.9045848822800495,0.16666666666666666,0.8333333333333334
0.6,0.4,0.5,30,765,697,68,111,0.08888888888888889,0.9111111111111111,0.204337899543379,0.795662100456621
0.6,0.4,0.75,7,742,677,65,134,0.0876010781671159,0.9123989218328841,0.2271689497716895,0.7728310502283106
0.6,0.4,1.0,2,737,674,63,139,0.08548168249660787,0.9145183175033921,0.23059360730593606,0.769406392694064
0.7,0.30000000000000004,0.0,138,873,768,105,3,0.12027491408934708,0.8797250859106529,0.1232876712328767,0.8767123287671232
0.7,0.30000000000000004,0.1,101,836,742,94,40,0.11244019138755981,0.8875598086124402,0.15296803652968036,0.8470319634703196
0.7,0.30000000000000004,0.2,80,815,732,83,61,0.10184049079754601,0.898159509202454,0.1643835616438356,0.8356164383561644
0.7,0.30000000000000004,0.3,67,802,723,79,74,0.09850374064837905,0.9014962593516209,0.17465753424657535,0.8253424657534246
0.7,0.30000000000000004,0.5,22,757,689,68,119,0.08982826948480846,0.9101717305151915,0.2134703196347032,0.7865296803652968
0.7,0.30000000000000004,0.75,14,749,682,67,127,0.08945260347129506,0.910547396528705,0.22146118721461186,0.7785388127853882
0.7,0.30000000000000004,1.0,3,738,673,65,138,0.08807588075880758,0.9119241192411924,0.2317351598173516,0.7682648401826484
0.8,0.19999999999999996,0.0,138,873,762,111,3,0.12714776632302405,0.872852233676976,0.13013698630136986,0.8698630136986302
0.8,0.19999999999999996,0.1,106,841,732,109,35,0.12960760998810938,0.8703923900118906,0.1643835616438356,0.8356164383561644
0.8,0.19999999999999996,0.2,76,811,714,97,65,0.11960542540073983,0.8803945745992602,0.18493150684931506,0.815068493150685
0.8,0.19999999999999996,0.3,59,794,705,89,82,0.11209068010075567,0.8879093198992444,0.1952054794520548,0.8047945205479452
0.8,0.19999999999999996,0.5,32,767,691,76,109,0.09908735332464146,0.9009126466753585,0.21118721461187215,0.7888127853881278
0.8,0.19999999999999996,0.75,14,749,681,68,127,0.09078771695594126,0.9092122830440588,0.2226027397260274,0.7773972602739726
0.8,0.19999999999999996,1.0,7,742,674,68,134,0.09164420485175202,0.9083557951482479,0.23059360730593606,0.769406392694064
